article_type,n_records,pct_records
ART,12164,49.87
REV,6138,25.16
COM,2626,10.77
ABS,1885,7.73
REP,958,3.93
PRO,323,1.32
ANN,146,0.6
SUP,86,0.35
ERA,67,0.27
