journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0580A,APA,1991,On Hispanic and Spanish as Dream Elements,Joseph W. Slap,Journal of the American Psychoanalytic Association,39,,580-581,,COM,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0581A,APA,1991,The Schema Model,Joseph W. Slap,Journal of the American Psychoanalytic Association,39,,581-582,,COM,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0787A,APA,1991,"Psychoanalysis and the Nuclear Threat: Edited by Howard B. Levine, Daniel Jacobs, and Lowell Rubin.  Hillsdale, N.J.:  Analytic Press, 290 pp., 1988, $29.95.",Abraham Zaleznik,Journal of the American Psychoanalytic Association,39,,787-789,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0814A,APA,1991,"Attitudes of Entitlement: Theoretical and Clinical Issues: Edited by Vamik D. Volkan and Terry C. Rodgers.  Charlottesville, Va.:  Univ. Virginia Press, 1988, xi + 106 pp., $19.95.",Ernest S. Wolf,Journal of the American Psychoanalytic Association,39,,814-817,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0826A,APA,1991,"Theories of the Unconscious and Theories of the Self: Edited by Raphael Stern.  Hillsdale, N.J.:  Analytic Press, 1987, 282 pp., $36.00.",Sander L. Gilman,Journal of the American Psychoanalytic Association,39,,826-828,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0575A,APA,1991,Georg Groddeck's Racism—A Dismal Discovery,Anne Polzer,Journal of the American Psychoanalytic Association,39,,575-577,,COM,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0578A,APA,1991,A Survey Concerning the Frequency of Fantasies about the Supervisor in Candidate Analysis,Wayne A. Myers,Journal of the American Psychoanalytic Association,39,,578-580,,COM,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0257A,APA,1991,"Catholic Cults and Devotions: A Psychological Inquiry: By Michael P. Carroll.  Montreal:  McGill-Queen's Univ. Press, 1989, xxi + 230 pp., $29.95.",W. W. Meissner,Journal of the American Psychoanalytic Association,39,,257-259,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0280A,APA,1991,"Die Psychoanalytische Haltung: Auf Der Suche Nach Dem Selbstbild Der Psychoanalyse.: Edited by Peter Kutter, Raúl Páramo-Ortega & Peter Zagermann.  München-Wien:  Verlag Internationale Psychoanalyse, 1988, XII + 398 pp.",Lore Schacht,Journal of the American Psychoanalytic Association,39,,280-284,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
japa,Journal of the American Psychoanalytic Association,APA,1991,APA.039.0288A,APA,1991,"In the Image of God: A Psychoanalyst's View: By Stanley A. Leavy.  New Haven:  Yale Univ. Press, 1988, xv + 112 pp., $17.95.",W. W. Meissner,Journal of the American Psychoanalytic Association,39,,288-290,,REV,True,False,0,,,0,data\raw_pep_metadata\japa\1991\japa_APA_1991_art_id_APA._AND_year_1991.json
