rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
46,life,1,187,111,12.759,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,life,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
47,first,1,181,142,16.322,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,first,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
48,time,1,180,135,15.517,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,time,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
49,disorders,1,177,78,8.966,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,disorders,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
50,hospital,1,176,87,10.0,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,hospital,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
51,thinking,1,170,111,12.759,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,thinking,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
52,staff,1,169,77,8.851,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,staff,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
53,complex,1,169,94,10.805,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,complex,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
54,people,1,167,95,10.92,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,people,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
55,emotional,1,167,97,11.149,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,affect_trauma_regulation,emotional,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
56,children,1,166,74,8.506,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,development_attachment,children,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
57,psychotic,1,166,68,7.816,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychotic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
58,trauma,1,166,62,7.126,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,affect_trauma_regulation,trauma,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
59,years,1,165,127,14.598,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,years,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
60,own,1,165,119,13.678,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,own,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
61,model,1,160,90,10.345,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,model,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
62,psychiatric,1,158,84,9.655,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychiatric,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
63,need,1,158,133,15.287,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,need,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
65,well,1,156,134,15.402,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,well,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
66,routledge,1,155,58,6.667,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,routledge,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
