scope,field,n_records,n_nonempty,pct_nonempty,median_chars,mean_chars,min_chars,max_chars,median_words,mean_words,n_very_short_lt_80_chars,n_possible_html_artifact,n_possible_copyright_artifact
psychoanalytic_psychology,title_clean,1369,1369,100.0,71.0,75.04,8,243,10.0,10.37,809,0,0
psychoanalytic_psychology,abstract_clean,1369,1369,100.0,1314.0,1468.98,226,42816,193.0,214.51,0,0,0
psychoanalytic_psychology,text_for_analysis,1369,1369,100.0,1388.0,1546.02,238,42872,203.0,224.88,0,0,0
