rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
175,although,1,132,126,9.204,1369
176,become,1,132,123,8.985,1369
177,scale,1,131,61,4.456,1369
178,international,1,131,46,3.36,1369
179,potential,1,130,94,6.866,1369
180,space,1,130,62,4.529,1369
181,diagnostic,1,129,63,4.602,1369
182,orcid,1,129,79,5.771,1369
183,thinking,1,128,91,6.647,1369
184,mothers,1,128,35,2.557,1369
185,fantasy,1,127,58,4.237,1369
186,relation,1,127,88,6.428,1369
187,san,1,127,51,3.725,1369
188,now,1,126,109,7.962,1369
189,further,1,126,105,7.67,1369
190,love,1,126,51,3.725,1369
191,problems,1,125,87,6.355,1369
192,individuals,1,124,88,6.428,1369
193,influence,1,124,81,5.917,1369
194,paul,1,124,41,2.995,1369
195,organization,1,123,63,4.602,1369
196,suite,1,123,123,8.985,1369
197,dreams,1,123,34,2.484,1369
198,level,1,122,89,6.501,1369
199,michael,1,122,42,3.068,1369
200,play,1,120,62,4.529,1369
201,central,1,120,108,7.889,1369
202,maternal,1,120,43,3.141,1369
203,effects,1,120,66,4.821,1369
204,state,1,119,72,5.259,1369
205,american,1,119,80,5.844,1369
206,association,1,119,87,6.355,1369
207,integration,1,119,83,6.063,1369
208,infant,1,119,55,4.018,1369
209,technique,1,119,70,5.113,1369
210,adelphi,1,119,24,1.753,1369
211,psyd,1,118,103,7.524,1369
212,identification,1,117,55,4.018,1369
213,including,1,117,105,7.67,1369
214,chicago,1,117,54,3.944,1369
215,graduate,1,117,43,3.141,1369
216,primary,1,116,77,5.625,1369
217,sample,1,116,78,5.698,1369
218,young,1,116,55,4.018,1369
219,future,1,116,78,5.698,1369
220,often,1,115,102,7.451,1369
221,loss,1,115,60,4.383,1369
222,analysts,1,115,77,5.625,1369
223,structure,1,114,73,5.332,1369
224,parental,1,114,48,3.506,1369
225,function,1,114,82,5.99,1369
226,changes,1,114,79,5.771,1369
227,method,1,113,72,5.259,1369
228,parents,1,113,52,3.798,1369
229,peter,1,113,37,2.703,1369
230,shame,1,112,37,2.703,1369
231,past,1,112,87,6.355,1369
232,private,1,112,95,6.939,1369
233,department,1,112,89,6.501,1369
234,found,1,111,96,7.012,1369
235,pathological,1,111,46,3.36,1369
236,out,1,111,84,6.136,1369
237,supervision,1,110,33,2.411,1369
238,levels,1,109,65,4.748,1369
239,interventions,1,109,67,4.894,1369
240,drive,1,109,82,5.99,1369
241,others,1,108,94,6.866,1369
242,illustrate,1,108,107,7.816,1369
243,after,1,108,89,6.501,1369
244,california,1,108,56,4.091,1369
245,support,1,107,91,6.647,1369
246,interaction,1,107,71,5.186,1369
247,importance,1,107,96,7.012,1369
248,reflective,1,107,33,2.411,1369
249,college,1,107,71,5.186,1369
250,differences,1,106,78,5.698,1369
