rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
48,ijpa,transference,terms_unigram,5423,6741,847,705,15.6187,10.4584,5.1603,1.4932,34.7951,transference,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,transference,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
49,ijpa,interpretation,terms_unigram,5423,6741,572,344,10.5477,5.1031,5.4446,2.0656,34.577822,interpretation,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,interpretation,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
51,ijpa,here,terms_unigram,5423,6741,658,470,12.1335,6.9723,5.1612,1.7397,33.500222,here,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,here,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
52,ijpa,means,terms_unigram,5423,6741,531,303,9.7916,4.4949,5.2967,2.1768,33.245787,means,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,means,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
53,ijpa,far,terms_unigram,5423,6741,456,207,8.4086,3.0708,5.3379,2.7346,32.692757,far,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,far,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
55,ijpa,cannot,terms_unigram,5423,6741,494,261,9.1093,3.8718,5.2375,2.3505,32.496495,cannot,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,cannot,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
56,ijpa,come,terms_unigram,5423,6741,530,311,9.7732,4.6136,5.1596,2.1169,32.375447,come,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,come,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
57,ijpa,whole,terms_unigram,5423,6741,413,154,7.6157,2.2845,5.3312,3.3267,32.124996,whole,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,whole,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
58,ijpa,external,terms_unigram,5423,6741,479,247,8.8327,3.6641,5.1686,2.4081,31.909859,external,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,external,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
59,ijpa,give,terms_unigram,5423,6741,444,203,8.1874,3.0114,5.1759,2.715,31.563191,give,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,give,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
