rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
15,ijpa,1920-1945,glover edward,terms_bigram,686,11478,24,6,3.4985,0.0523,3.4463,62.9796,11.09311,glover edward,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,glover edward,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
16,ijpa,1920-1945,sigmund freud,terms_bigram,686,11478,31,168,4.519,1.4637,3.0553,3.1236,10.588796,sigmund freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,sigmund freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
18,ijpa,1920-1945,melanie klein,terms_bigram,686,11478,27,156,3.9359,1.3591,2.5767,2.9361,8.586219,melanie klein,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,melanie klein,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
19,ijpa,1920-1945,mental life,terms_bigram,686,11478,27,158,3.9359,1.3765,2.5593,2.899,8.528156,mental life,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,mental life,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
20,ijpa,1920-1945,sexual intercourse,terms_bigram,686,11478,20,22,2.9155,0.1917,2.7238,15.2236,8.292612,sexual intercourse,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,sexual intercourse,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
21,ijpa,1920-1945,journal vol,terms_bigram,686,11478,19,4,2.7697,0.0348,2.7348,72.4051,8.192819,journal vol,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,journal vol,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
22,ijpa,1920-1945,castration complex,terms_bigram,686,11478,20,37,2.9155,0.3224,2.5931,9.1342,7.894739,castration complex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,castration complex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
23,ijpa,1920-1945,papers vol,terms_bigram,686,11478,18,0,2.6239,0.0,2.6239,618.2285,7.725933,papers vol,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,papers vol,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
24,ijpa,1920-1945,throw light,terms_bigram,686,11478,19,28,2.7697,0.2439,2.5257,11.4324,7.566424,throw light,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,throw light,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
25,ijpa,1920-1945,collected papers,terms_bigram,686,11478,18,17,2.6239,0.1481,2.4758,17.6637,7.289834,collected papers,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,collected papers,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
26,ijpa,1920-1945,put forward,terms_bigram,686,11478,21,93,3.0612,0.8102,2.251,3.8421,6.957871,put forward,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,put forward,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
27,ijpa,1920-1945,obsessional neurosis,terms_bigram,686,11478,18,34,2.6239,0.2962,2.3277,8.9598,6.853735,obsessional neurosis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,obsessional neurosis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
28,ijpa,1920-1945,early childhood,terms_bigram,686,11478,22,121,3.207,1.0542,2.1528,3.0942,6.750112,early childhood,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,early childhood,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
29,ijpa,1920-1945,douglas bryan,terms_bigram,686,11478,16,0,2.3324,0.0,2.3324,551.393,6.608078,douglas bryan,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,douglas bryan,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
30,ijpa,1920-1945,part played,terms_bigram,686,11478,17,24,2.4781,0.2091,2.269,11.9349,6.558365,part played,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,part played,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
31,ijpa,1920-1945,very little,terms_bigram,686,11478,17,36,2.4781,0.3136,2.1645,8.0111,6.256183,very little,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,very little,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
32,ijpa,1920-1945,men women,terms_bigram,686,11478,18,58,2.6239,0.5053,2.1186,5.284,6.238065,men women,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,men women,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
33,ijpa,1920-1945,karl abraham,terms_bigram,686,11478,16,17,2.3324,0.1481,2.1843,15.7541,6.188452,karl abraham,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,karl abraham,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
35,ijpa,1920-1945,oberndorf oberndorf,terms_bigram,686,11478,15,3,2.1866,0.0261,2.1605,73.9965,5.990045,oberndorf oberndorf,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,oberndorf oberndorf,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
36,ijpa,1920-1945,freud vienna,terms_bigram,686,11478,15,8,2.1866,0.0697,2.1169,30.4691,5.869266,freud vienna,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,freud vienna,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
37,ijpa,1920-1945,otto fenichel,terms_bigram,686,11478,15,9,2.1866,0.0784,2.1082,27.2619,5.845111,otto fenichel,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,otto fenichel,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
38,ijpa,1920-1945,sense guilt,terms_bigram,686,11478,16,31,2.3324,0.2701,2.0623,8.7523,5.842878,sense guilt,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,sense guilt,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
39,ijpa,1920-1945,well known,terms_bigram,686,11478,19,96,2.7697,0.8364,1.9333,3.3764,5.791639,well known,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,well known,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
40,ijpa,1920-1945,sexual life,terms_bigram,686,11478,15,17,2.1866,0.1481,2.0385,14.7993,5.651865,sexual life,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,sexual life,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
41,ijpa,1920-1945,abraham karl,terms_bigram,686,11478,14,1,2.0408,0.0087,2.0321,161.5192,5.50304,abraham karl,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,abraham karl,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
42,ijpa,1920-1945,little girl,terms_bigram,686,11478,15,35,2.1866,0.3049,1.8817,7.2954,5.217063,little girl,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,little girl,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
43,ijpa,1920-1945,any rate,terms_bigram,686,11478,14,20,2.0408,0.1742,1.8666,11.8185,5.054765,any rate,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,any rate,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
44,ijpa,1920-1945,carried out,terms_bigram,686,11478,18,105,2.6239,0.9148,1.7091,2.93,5.032379,carried out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,carried out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
46,ijpa,1920-1945,bryan douglas,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129,bryan douglas,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,bryan douglas,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
47,ijpa,1920-1945,searl searl,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129,searl searl,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,searl searl,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
48,ijpa,1920-1945,fenichel otto,terms_bigram,686,11478,13,0,1.895,0.0,1.895,451.1397,5.001129,fenichel otto,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,fenichel otto,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
49,ijpa,1920-1945,melitta schmideberg,terms_bigram,686,11478,13,2,1.895,0.0174,1.8776,90.2279,4.955144,melitta schmideberg,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,melitta schmideberg,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
50,ijpa,1920-1945,anal erotism,terms_bigram,686,11478,13,3,1.895,0.0261,1.8689,64.4485,4.932152,anal erotism,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,anal erotism,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
51,ijpa,1920-1945,freud himself,terms_bigram,686,11478,16,72,2.3324,0.6273,1.7051,3.8027,4.83084,freud himself,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,freud himself,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
52,ijpa,1920-1945,klein melanie,terms_bigram,686,11478,13,9,1.895,0.0784,1.8166,23.7442,4.794198,klein melanie,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,klein melanie,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
53,ijpa,1920-1945,helene deutsch,terms_bigram,686,11478,13,18,1.895,0.1568,1.7382,12.193,4.587267,helene deutsch,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,helene deutsch,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
54,ijpa,1920-1945,young man,terms_bigram,686,11478,15,62,2.1866,0.5402,1.6464,4.1438,4.56486,young man,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,young man,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
57,ijpa,1920-1945,schmideberg melitta,terms_bigram,686,11478,12,1,1.7493,0.0087,1.7406,139.2407,4.464445,schmideberg melitta,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,schmideberg melitta,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
58,ijpa,1920-1945,vienna sigmund,terms_bigram,686,11478,12,3,1.7493,0.0261,1.7231,59.6746,4.419752,vienna sigmund,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,vienna sigmund,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
59,ijpa,1920-1945,technique psycho-analysis,terms_bigram,686,11478,12,4,1.7493,0.0348,1.7144,46.4136,4.397405,technique psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,technique psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
60,ijpa,1920-1945,sexual act,terms_bigram,686,11478,12,10,1.7493,0.0871,1.6621,19.8915,4.263325,sexual act,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,sexual act,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
61,ijpa,1920-1945,father mother,terms_bigram,686,11478,12,19,1.7493,0.1655,1.5837,10.7108,4.062205,father mother,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,father mother,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
62,ijpa,1920-1945,ferenczi ferenczi,terms_bigram,686,11478,11,0,1.6035,0.0,1.6035,384.3042,3.984544,ferenczi ferenczi,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,ferenczi ferenczi,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
64,ijpa,1920-1945,vienna psycho-analytical,terms_bigram,686,11478,11,1,1.6035,0.0087,1.5948,128.1014,3.962895,vienna psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,vienna psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
65,ijpa,1920-1945,vol iii,terms_bigram,686,11478,11,1,1.6035,0.0087,1.5948,128.1014,3.962895,vol iii,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,vol iii,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
66,ijpa,1920-1945,congress marienbad,terms_bigram,686,11478,11,1,1.6035,0.0087,1.5948,128.1014,3.962895,congress marienbad,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,congress marienbad,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
67,ijpa,1920-1945,phallic phase,terms_bigram,686,11478,12,25,1.7493,0.2178,1.5315,8.1906,3.928125,phallic phase,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,phallic phase,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
68,ijpa,1920-1945,human beings,terms_bigram,686,11478,15,91,2.1866,0.7928,1.3938,2.8305,3.864345,human beings,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,human beings,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
69,ijpa,1920-1945,journal psycho-analysis,terms_bigram,686,11478,12,32,1.7493,0.2788,1.4705,6.4265,3.771699,journal psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,journal psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
70,ijpa,1920-1945,little boy,terms_bigram,686,11478,11,16,1.6035,0.1394,1.4641,11.6456,3.638155,little boy,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,little boy,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
71,ijpa,1920-1945,outer world,terms_bigram,686,11478,12,39,1.7493,0.3398,1.4095,5.2876,3.615272,outer world,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,outer world,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
72,ijpa,1920-1945,freud pointed,terms_bigram,686,11478,11,19,1.6035,0.1655,1.438,9.854,3.573207,freud pointed,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,freud pointed,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
73,ijpa,1920-1945,reik theodor,terms_bigram,686,11478,10,2,1.4577,0.0174,1.4403,70.1773,3.453692,reik theodor,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,reik theodor,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
74,ijpa,1920-1945,papers psycho-analysis,terms_bigram,686,11478,10,3,1.4577,0.0261,1.4316,50.1266,3.4328,papers psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,papers psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
76,ijpa,1920-1945,ella sharpe,terms_bigram,686,11478,10,8,1.4577,0.0697,1.388,20.6404,3.328344,ella sharpe,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,ella sharpe,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
77,ijpa,1920-1945,joan riviere,terms_bigram,686,11478,10,12,1.4577,0.1045,1.3532,14.0355,3.244779,joan riviere,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,joan riviere,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
79,ijpa,1920-1945,theodor reik,terms_bigram,686,11478,10,13,1.4577,0.1133,1.3445,12.9958,3.223888,theodor reik,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,theodor reik,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
80,ijpa,1920-1945,opposite sex,terms_bigram,686,11478,10,17,1.4577,0.1481,1.3096,10.0253,3.140323,opposite sex,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,opposite sex,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
81,ijpa,1920-1945,budapest ferenczi,terms_bigram,686,11478,9,0,1.312,0.0,1.312,317.4687,3.020884,budapest ferenczi,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,budapest ferenczi,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
82,ijpa,1920-1945,fourteenth international,terms_bigram,686,11478,9,0,1.312,0.0,1.312,317.4687,3.020884,fourteenth international,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,fourteenth international,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
83,ijpa,1920-1945,congress lucerne,terms_bigram,686,11478,9,1,1.312,0.0087,1.3032,105.8229,3.000823,congress lucerne,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,congress lucerne,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
84,ijpa,1920-1945,untranslated freud,terms_bigram,686,11478,9,2,1.312,0.0174,1.2945,63.4937,2.980763,untranslated freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,untranslated freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
85,ijpa,1920-1945,riviere joan,terms_bigram,686,11478,9,3,1.312,0.0261,1.2858,45.3527,2.960702,riviere joan,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,riviere joan,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
86,ijpa,1920-1945,ferenczi budapest,terms_bigram,686,11478,9,3,1.312,0.0261,1.2858,45.3527,2.960702,ferenczi budapest,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,ferenczi budapest,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
87,ijpa,1920-1945,laid down,terms_bigram,686,11478,10,27,1.4577,0.2352,1.2225,6.3798,2.931411,laid down,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,laid down,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
88,ijpa,1920-1945,early stages,terms_bigram,686,11478,11,49,1.6035,0.4269,1.1766,3.8819,2.923728,early stages,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,early stages,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
90,ijpa,1920-1945,outside world,terms_bigram,686,11478,11,50,1.6035,0.4356,1.1679,3.805,2.902079,outside world,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,outside world,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
91,ijpa,1920-1945,karen horney,terms_bigram,686,11478,9,7,1.312,0.061,1.251,21.1646,2.880458,karen horney,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,karen horney,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
92,ijpa,1920-1945,great importance,terms_bigram,686,11478,10,31,1.4577,0.2701,1.1876,5.5696,2.847846,great importance,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,great importance,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
93,ijpa,1920-1945,mental mechanisms,terms_bigram,686,11478,9,9,1.312,0.0784,1.2335,16.7089,2.840337,mental mechanisms,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,mental mechanisms,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
94,ijpa,1920-1945,neurotic symptoms,terms_bigram,686,11478,10,32,1.4577,0.2788,1.1789,5.3983,2.826955,neurotic symptoms,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,neurotic symptoms,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
95,ijpa,1920-1945,oedipus situation,terms_bigram,686,11478,9,10,1.312,0.0871,1.2248,15.1176,2.820276,oedipus situation,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,oedipus situation,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
96,ijpa,1920-1945,drew attention,terms_bigram,686,11478,9,12,1.312,0.1045,1.2074,12.6987,2.780154,drew attention,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,drew attention,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
97,ijpa,1920-1945,instinctual impulses,terms_bigram,686,11478,9,12,1.312,0.1045,1.2074,12.6987,2.780154,instinctual impulses,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,instinctual impulses,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
98,ijpa,1920-1945,draw attention,terms_bigram,686,11478,10,35,1.4577,0.3049,1.1528,4.9421,2.764281,draw attention,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,draw attention,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
99,ijpa,1920-1945,infantile sexuality,terms_bigram,686,11478,11,57,1.6035,0.4966,1.1069,3.3418,2.750534,infantile sexuality,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,infantile sexuality,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
100,ijpa,1920-1945,very often,terms_bigram,686,11478,9,15,1.312,0.1307,1.1813,10.2409,2.719971,very often,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,very often,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
1,ijpa,1946-1969,international psycho-analytical,terms_bigram,1205,10959,56,82,4.6473,0.7482,3.8991,6.2238,15.764097,international psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,international psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
3,ijpa,1946-1969,anna freud,terms_bigram,1205,10959,58,135,4.8133,1.2319,3.5814,3.9236,14.603349,anna freud,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,anna freud,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
4,ijpa,1946-1969,pointed out,terms_bigram,1205,10959,58,139,4.8133,1.2684,3.5449,3.8111,14.45452,pointed out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,pointed out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
6,ijpa,1946-1969,melanie klein,terms_bigram,1205,10959,52,131,4.3154,1.1954,3.12,3.6282,12.387264,melanie klein,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,melanie klein,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
7,ijpa,1946-1969,defence mechanisms,terms_bigram,1205,10959,40,45,3.3195,0.4106,2.9089,8.0892,10.802338,defence mechanisms,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,defence mechanisms,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
8,ijpa,1946-1969,object relationships,terms_bigram,1205,10959,41,86,3.4025,0.7847,2.6177,4.3601,9.784272,object relationships,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,object relationships,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
9,ijpa,1946-1969,acting out,terms_bigram,1205,10959,43,121,3.5685,1.1041,2.4643,3.2537,9.325565,acting out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,acting out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
10,ijpa,1946-1969,external world,terms_bigram,1205,10959,39,80,3.2365,0.73,2.5065,4.4593,9.246253,external world,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal_period,,,external world,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal_period
