term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
arnold richards,final_keep,kept_after_final_cleanup,True,,
aron,final_keep,kept_after_final_cleanup,True,,
art,final_keep,kept_after_final_cleanup,True,,
art culo,final_keep,kept_after_final_cleanup,True,,
assessed,final_keep,kept_after_final_cleanup,True,,
assessing,final_keep,kept_after_final_cleanup,True,,
assessment,final_keep,kept_after_final_cleanup,True,,
assistant,final_keep,kept_after_final_cleanup,True,,
associate,final_keep,kept_after_final_cleanup,True,,
associate editor,final_keep,kept_after_final_cleanup,True,,
associated,final_keep,kept_after_final_cleanup,True,,
attachment,final_keep,protected_psychoanalytic_term,True,,
attachment anxiety,final_keep,kept_after_final_cleanup,True,,
attachment interview,final_keep,kept_after_final_cleanup,True,,
attachment style,final_keep,kept_after_final_cleanup,True,,
attachment styles,final_keep,kept_after_final_cleanup,True,,
attempt,final_keep,kept_after_final_cleanup,True,,
attempt made,final_keep,kept_after_final_cleanup,True,,
attempted,final_keep,kept_after_final_cleanup,True,,
attempts,final_keep,kept_after_final_cleanup,True,,
attending psychiatrist,final_keep,kept_after_final_cleanup,True,,
attention,final_keep,kept_after_final_cleanup,True,,
attitude,final_keep,kept_after_final_cleanup,True,,
auf,final_keep,kept_after_final_cleanup,True,,
auf der,final_keep,kept_after_final_cleanup,True,,
auf die,final_keep,kept_after_final_cleanup,True,,
aus der,final_keep,kept_after_final_cleanup,True,,
austen riggs,final_keep,kept_after_final_cleanup,True,,
author addresses,final_keep,kept_after_final_cleanup,True,,
author aims,final_keep,kept_after_final_cleanup,True,,
author attempts,final_keep,kept_after_final_cleanup,True,,
author begins,final_keep,kept_after_final_cleanup,True,,
author concludes,final_keep,kept_after_final_cleanup,True,,
author contends,final_keep,kept_after_final_cleanup,True,,
author demonstrates,final_keep,kept_after_final_cleanup,True,,
author focuses,final_keep,kept_after_final_cleanup,True,,
author gives,final_keep,kept_after_final_cleanup,True,,
author illustrates,final_keep,kept_after_final_cleanup,True,,
author notes,final_keep,kept_after_final_cleanup,True,,
author offers,final_keep,kept_after_final_cleanup,True,,
author shows,final_keep,kept_after_final_cleanup,True,,
author tries,final_keep,kept_after_final_cleanup,True,,
author uses,final_keep,kept_after_final_cleanup,True,,
author's,final_keep,kept_after_final_cleanup,True,,
author's view,final_keep,kept_after_final_cleanup,True,,
authors argue,final_keep,kept_after_final_cleanup,True,,
available,final_keep,kept_after_final_cleanup,True,,
available online,final_keep,kept_after_final_cleanup,True,,
available review,final_keep,kept_after_final_cleanup,True,,
available sign,final_keep,kept_after_final_cleanup,True,,
ave,final_keep,kept_after_final_cleanup,True,,
award,final_keep,kept_after_final_cleanup,True,,
awarding prize,final_keep,kept_after_final_cleanup,True,,
aware,final_keep,kept_after_final_cleanup,True,,
back,final_keep,kept_after_final_cleanup,True,,
balint michael,final_keep,kept_after_final_cleanup,True,,
barbara milrod,final_keep,kept_after_final_cleanup,True,,
basic books,final_keep,kept_after_final_cleanup,True,,
basis,final_keep,kept_after_final_cleanup,True,,
bear mind,final_keep,kept_after_final_cleanup,True,,
become available,final_keep,kept_after_final_cleanup,True,,
began,final_keep,kept_after_final_cleanup,True,,
behavior,final_keep,kept_after_final_cleanup,True,,
behavioral,final_keep,kept_after_final_cleanup,True,,
behavioral sciences,final_keep,kept_after_final_cleanup,True,,
behaviors,final_keep,kept_after_final_cleanup,True,,
