term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
analyst's,global_core_terms_after_audit,,,,2007,1048,8.6156,,,pending,,,analyst's,analyst's,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,analyst's,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
any,global_core_terms_after_audit,,,,1932,1459,11.9944,,,pending,,,any,any,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,any,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
change,global_core_terms_after_audit,,,,1930,1058,8.6978,,,pending,,,change,change,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,change,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
relational,global_core_terms_after_audit,,,,1919,878,7.218,,,pending,,,relational,relational,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,relational,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
dream,global_core_terms_after_audit,,,,1899,578,4.7517,,,pending,,,dream,dream,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,dream,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
sense,global_core_terms_after_audit,,,,1890,1341,11.0243,,,pending,,,sense,sense,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,sense,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
thinking,global_core_terms_after_audit,,,,1885,1197,9.8405,,,pending,,,thinking,thinking,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,thinking,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
group,global_core_terms_after_audit,,,,1872,1016,8.3525,,,pending,,,group,group,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,group,final_exclude,final_stop_term,False,discriminative_candidate_terms
nature,global_core_terms_after_audit,,,,1862,1394,11.46,,,pending,,,nature,nature,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,nature,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
human,global_core_terms_after_audit,,,,1824,1202,9.8816,,,pending,,,human,human,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,human,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
