rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
30,ijpa,pleasure principle,terms_bigram,5423,6741,84,35,1.549,0.5192,1.0297,2.9587,4.574808,pleasure principle,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,pleasure principle,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
31,ijpa,art culo,terms_bigram,5423,6741,62,3,1.1433,0.0445,1.0988,22.1963,4.552372,art culo,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,art culo,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
32,ijpa,object relationships,terms_bigram,5423,6741,87,40,1.6043,0.5934,1.0109,2.6855,4.526114,object relationships,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,object relationships,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
35,ijpa,freud himself,terms_bigram,5423,6741,70,18,1.2908,0.267,1.0238,4.7368,4.364028,freud himself,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,freud himself,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
36,ijpa,death instinct,terms_bigram,5423,6741,72,21,1.3277,0.3115,1.0162,4.1915,4.359759,death instinct,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,death instinct,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
38,ijpa,well known,terms_bigram,5423,6741,79,36,1.4568,0.534,0.9227,2.7073,4.043352,well known,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,well known,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
39,ijpa,mental functioning,terms_bigram,5423,6741,95,59,1.7518,0.8752,0.8766,1.9951,4.000911,mental functioning,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,mental functioning,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
42,ijpa,melanie klein's,terms_bigram,5423,6741,58,9,1.0695,0.1335,0.936,7.6542,3.816605,melanie klein's,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,melanie klein's,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
44,ijpa,internal objects,terms_bigram,5423,6741,71,30,1.3092,0.445,0.8642,2.9139,3.695897,internal objects,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,internal objects,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
45,ijpa,great deal,terms_bigram,5423,6741,74,35,1.3646,0.5192,0.8453,2.6085,3.649778,great deal,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,great deal,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
46,ijpa,beverly hills,terms_bigram,5423,6741,60,17,1.1064,0.2522,0.8542,4.2972,3.511552,beverly hills,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,beverly hills,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
47,ijpa,external reality,terms_bigram,5423,6741,77,42,1.4199,0.6231,0.7968,2.2666,3.471536,external reality,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,external reality,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
48,ijpa,depressive position,terms_bigram,5423,6741,57,14,1.0511,0.2077,0.8434,4.9291,3.424555,depressive position,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,depressive position,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
49,ijpa,took place,terms_bigram,5423,6741,68,34,1.2539,0.5044,0.7495,2.468,3.173642,took place,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,took place,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
50,ijpa,common ground,terms_bigram,5423,6741,51,11,0.9404,0.1632,0.7773,5.5665,3.071137,common ground,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,common ground,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
51,ijpa,accepted september,terms_bigram,5423,6741,47,6,0.8667,0.089,0.7777,9.0834,3.010522,accepted september,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,accepted september,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
53,ijpa,unconscious phantasy,terms_bigram,5423,6741,48,8,0.8851,0.1187,0.7664,7.0924,2.982855,unconscious phantasy,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,unconscious phantasy,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
54,ijpa,rachel blass,terms_bigram,5423,6741,44,2,0.8114,0.0297,0.7817,22.1253,2.975629,rachel blass,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,rachel blass,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
55,ijpa,world war,terms_bigram,5423,6741,70,40,1.2908,0.5934,0.6974,2.1637,2.972856,world war,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,world war,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
57,ijpa,psychic change,terms_bigram,5423,6741,50,12,0.922,0.178,0.744,5.0217,2.925214,psychic change,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,psychic change,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
58,ijpa,international congress,terms_bigram,5423,6741,45,6,0.8298,0.089,0.7408,8.701,2.836225,international congress,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,international congress,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
59,ijpa,edward glover,terms_bigram,5423,6741,43,3,0.7929,0.0445,0.7484,15.4486,2.832145,edward glover,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,edward glover,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
60,ijpa,internal external,terms_bigram,5423,6741,76,51,1.4014,0.7566,0.6449,1.8464,2.801207,internal external,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,internal external,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
61,ijpa,transference neurosis,terms_bigram,5423,6741,77,53,1.4199,0.7862,0.6336,1.8006,2.760606,transference neurosis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,transference neurosis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
62,ijpa,author shows,terms_bigram,5423,6741,44,6,0.8114,0.089,0.7224,8.5097,2.749748,author shows,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,author shows,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
63,ijpa,starting point,terms_bigram,5423,6741,60,32,1.1064,0.4747,0.6317,2.3139,2.596805,starting point,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,starting point,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
64,ijpa,internal object,terms_bigram,5423,6741,58,30,1.0695,0.445,0.6245,2.3841,2.546344,internal object,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,internal object,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
