rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
1,ijpa,1920-1945,psycho-analytical,terms_unigram,686,11478,207,201,30.1749,1.7512,28.4238,17.2064,151.712853,psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,psycho-analytical,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
2,ijpa,1920-1945,psycho-analysis,terms_unigram,686,11478,215,417,31.3411,3.633,27.7081,8.6246,148.938594,psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,psycho-analysis,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
5,ijpa,1920-1945,any,terms_unigram,686,11478,220,1239,32.07,10.7946,21.2754,2.9724,114.84811,any,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,any,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
8,ijpa,1920-1945,read,terms_unigram,686,11478,141,364,20.5539,3.1713,17.3827,6.4864,86.145415,read,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,read,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
10,ijpa,1920-1945,fact,terms_unigram,686,11478,163,930,23.7609,8.1025,15.6585,2.936,79.856136,fact,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,fact,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
13,ijpa,1920-1945,freud,terms_unigram,686,11478,225,2125,32.7988,18.5137,14.2852,1.7727,77.433185,freud,candidate_concept,protected_theoretical_name,True,key_terms_by_journal_period,,,freud,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
14,ijpa,1920-1945,far,terms_unigram,686,11478,134,529,19.5335,4.6088,14.9247,4.2443,73.209808,far,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,far,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
15,ijpa,1920-1945,little,terms_unigram,686,11478,133,658,19.3878,5.7327,13.655,3.3874,66.880243,little,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,little,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
17,ijpa,1920-1945,quite,terms_unigram,686,11478,116,390,16.9096,3.3978,13.5118,4.9849,64.34562,quite,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,quite,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
20,ijpa,1920-1945,man,terms_unigram,686,11478,127,680,18.5131,5.9244,12.5887,3.1306,61.080959,man,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal_period,,,man,final_keep,kept_after_final_cleanup,True,key_terms_by_journal_period
