term,term_norm,semantic_family,semantic_action,semantic_confidence,mapping_rule,matched_pattern,n_family_matches,all_family_matches,review_flag,manual_override_family,manual_note,candidate_sources,candidate_journals,candidate_periods,max_keyness_score,max_pct_point_lift,max_doc_count,max_doc_pct
science psycho-analysis,science psycho-analysis,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1946-1969,3.350157,1.2083,15.0,1.2448
sciences,sciences,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,japa,1990-2009,6.781932,1.8644,37.0,3.7949
scientific,scientific,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit | key_terms_by_journal_period | key_terms_by_period,ijpa,1946-1969 | 1970-1989,35.158746,7.0262,724.0,12.2822
searl searl,searl searl,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1920-1945,5.001129,1.895,13.0,1.895
secretary copies,secretary copies,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1946-1969,3.096861,1.1436,14.0,1.1618
secretary psycho-analysis,secretary psycho-analysis,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1946-1969,3.710237,1.3096,16.0,1.3278
sector,sector,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,1990-2009 | 2010-2025,13.845326,4.3483,35.0,4.6296
sector expect,sector expect,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,psychoanalytic_psychotherapy,1990-2009,2.230083,1.2446,5.0,1.2531
see,see,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,ijpa | japa,1920-1945 | 2010-2025,33.97371,7.4954,92.0,13.4111
seem,seem,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,ijpa,1946-1969,37.525748,7.6272,168.0,11.2863
seems,seems,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa,1946-1969 | 1970-1989,42.93464,8.4088,464.0,13.61
self,self,ego_self_narcissism,mapped_initial,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,1,ego_self_narcissism,optional_review_medium_confidence,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa | japa | psychoanalytic_dialogues | psychoanalytic_psychology,1970-1989 | 1990-2009 | 2010-2025,61.683266,11.4641,1327.0,21.8692
self object,self object,object_relations,mapped_initial,high,object_relations_terms,\bobject(s)?\b|\bobject[- ]relations\b|\binternal object(s)?\b|\bexternal object(s)?\b,2,object_relations | ego_self_narcissism,manual_review_multiple_family_matches,,,global_core_bigrams_after_audit | key_bigrams_by_journal_period | key_bigrams_by_period,ijpa | japa | psychoanalytic_psychology,1946-1969 | 1970-1989 | 1990-2009,5.7284,1.8025,103.0,2.5137
self objects,self objects,object_relations,mapped_initial,high,object_relations_terms,\bobject(s)?\b|\bobject[- ]relations\b|\binternal object(s)?\b|\bexternal object(s)?\b,2,object_relations | ego_self_narcissism,manual_review_multiple_family_matches,,,key_bigrams_by_journal_period,japa,1970-1989,2.351559,1.0702,8.0,1.1747
self psychological,self psychological,ego_self_narcissism,mapped_initial,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,1,ego_self_narcissism,optional_review_medium_confidence,,,key_bigrams_by_journal_period,psychoanalytic_psychology,1990-2009,1.674771,0.8607,6.0,0.9646
self psychology,self psychology,ego_self_narcissism,mapped_initial,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,2,ego_self_narcissism | history_theory_schools,manual_review_multiple_family_matches,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,psychoanalytic_dialogues | psychoanalytic_psychology,1970-1989 | 1990-2009 | 2010-2025,20.115522,5.6133,143.0,6.5421
self-esteem,self-esteem,ego_self_narcissism,mapped_initial,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,1,ego_self_narcissism,optional_review_medium_confidence,,,key_terms_by_journal_period,psychoanalytic_psychology,1970-1989,5.884809,3.2844,5.0,4.065
self-object differentiation,self-object differentiation,object_relations,mapped_initial,high,object_relations_terms,\bobject(s)?\b|\bobject[- ]relations\b|\binternal object(s)?\b|\bexternal object(s)?\b,2,object_relations | ego_self_narcissism,manual_review_multiple_family_matches,,,key_bigrams_by_journal_period,ijpa,1970-1989,1.784342,0.8121,8.0,0.8743
self-report,self-report,ego_self_narcissism,mapped_initial,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,1,ego_self_narcissism,optional_review_medium_confidence,,,key_terms_by_journal_period,psychoanalytic_psychology,2010-2025,12.573309,3.8591,25.0,4.0064
selfand object,selfand object,object_relations,mapped_initial,high,object_relations_terms,\bobject(s)?\b|\bobject[- ]relations\b|\binternal object(s)?\b|\bexternal object(s)?\b,1,object_relations,,,,key_bigrams_by_journal | key_bigrams_by_journal_period,japa,1970-1989,4.162344,1.6228,21.0,1.7621
sense,sense,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit | key_terms_by_journal_period,ijpa,1970-1989,18.596053,3.7968,1341.0,14.5355
sense guilt,sense guilt,ego_self_narcissism,mapped_initial,medium,self_affect_overlap,\bshame\b|\bguilt\b,2,ego_self_narcissism | trauma_dissociation_affect_regulation,manual_review_multiple_family_matches,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1920-1945,5.842878,2.0623,16.0,2.3324
sense self,sense self,ego_self_narcissism,mapped_initial,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,1,ego_self_narcissism,optional_review_medium_confidence,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,1990-2009 | 2010-2025,3.462715,1.3121,102.0,2.0833
sent,sent,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology,1970-1989 | 1990-2009,23.221037,6.0651,52.0,7.2347
sent hon,sent hon,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1946-1969,3.07215,1.1345,14.0,1.1618
separate,separate,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychotherapy,1970-1989,7.771164,5.6057,3.0,7.6923
separation anxiety,separation anxiety,attachment_development_infant,mapped_initial,high,attachment_terms,\battachment\b|\bbowlby\b|\bsecure base\b|\bseparation\b|\bloss\b,2,attachment_development_infant | trauma_dissociation_affect_regulation,manual_review_multiple_family_matches,,,key_bigrams_by_period,,1946-1969,2.646185,0.8692,20.0,1.1474
separation-individuation,separation-individuation,attachment_development_infant,mapped_initial,high,attachment_terms,\battachment\b|\bbowlby\b|\bsecure base\b|\bseparation\b|\bloss\b,1,attachment_development_infant,,,,key_terms_by_journal_period,japa,1970-1989,12.202821,3.6239,28.0,4.1116
series routledge,series routledge,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,psychoanalytic_dialogues,2010-2025,5.430293,1.8127,19.0,1.8217
serves,serves,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_dialogues,2010-2025,26.316944,5.9887,91.0,7.6702
service,service,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology | psychoanalytic_psychotherapy,1990-2009 | 2010-2025,63.078599,14.5653,124.0,17.3611
service nhs,service nhs,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychotherapy,2010-2025,9.579779,3.4552,17.0,3.4722
service now,service now,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,psychoanalytic_psychology,2010-2025,31.505013,8.0128,50.0,8.0128
services,services,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,1970-1989 | 1990-2009 | 2010-2025,39.472298,9.8227,84.0,10.8796
setting,setting,technique_interpretation_process,mapped_initial,medium,technique_setting_terms,\btechnique(s)?\b|\btechnical\b|\bsetting\b|\bframe\b,1,technique_interpretation_process,optional_review_medium_confidence,,,key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa | psychoanalytic_psychotherapy,1970-1989 | 1990-2009 | 2010-2025,35.983473,13.726,195.0,17.9487
settings,settings,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,1990-2009 | 2010-2025,18.198489,5.2613,48.0,6.25
severe,severe,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,1990-2009,10.077123,2.5147,54.0,6.2657
severe mental,severe mental,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,psychoanalytic_psychotherapy,1990-2009,2.727703,1.4018,6.0,1.5038
severe personality,severe personality,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal,psychoanalytic_psychotherapy,,2.833808,1.1404,11.0,1.2644
sex differences,sex differences,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,key_bigrams_by_journal_period,psychoanalytic_psychology,1970-1989,3.289101,2.3726,3.0,2.439
sexual,sexual,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,global_core_terms_after_audit | key_terms_by_journal_period | key_terms_by_period,ijpa,1920-1945,60.981896,12.4132,969.0,19.6793
sexual abuse,sexual abuse,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,psychoanalytic_psychology | psychoanalytic_psychotherapy,1990-2009,2.588139,1.0792,71.0,1.6077
sexual act,sexual act,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1920-1945,4.263325,1.6621,12.0,1.7493
sexual boundary,sexual boundary,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,3.531096,1.4726,10.0,1.6026
sexual intercourse,sexual intercourse,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1920-1945,8.292612,2.7238,20.0,2.9155
sexual life,sexual life,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1920-1945,5.651865,2.0385,15.0,2.1866
sexuality,sexuality,body_sexuality_gender,mapped_initial,high,sexuality_terms,\bsexual\b|\bsexuality\b|\bsex\b|\berotic\b|\beroticism\b,1,body_sexuality_gender,,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_dialogues,1990-2009 | 2010-2025,32.536462,6.8446,580.0,11.0259
shall,shall,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa,1920-1945 | 1946-1969 | 1970-1989,78.422667,14.6021,452.0,17.7593
shall attempt,shall attempt,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,ijpa,1946-1969 | 1970-1989,4.094837,1.3669,24.0,1.5768
shall try,shall try,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,1946-1969,3.655712,1.2648,17.0,1.4108
shame,shame,ego_self_narcissism,mapped_initial,medium,self_affect_overlap,\bshame\b|\bguilt\b,2,ego_self_narcissism | trauma_dissociation_affect_regulation,manual_review_multiple_family_matches,,,key_terms_by_journal_period,psychoanalytic_dialogues,2010-2025,19.458732,4.6615,64.0,6.1361
shapiro,shapiro,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,japa,1990-2009,8.006619,2.4028,27.0,2.7692
shared,shared,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,psychoanalytic_dialogues,2010-2025,22.461183,5.1405,182.0,7.4784
show,show,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychotherapy,1970-1989,19.45725,9.999,6.0,15.3846
showed,showed,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychology,2010-2025,14.035372,3.8584,37.0,5.9295
sich,sich,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,ijpa,2010-2025,25.654076,5.9604,73.0,5.9787
sidney blatt,sidney blatt,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,1990-2009,3.107261,1.2217,35.0,1.4469
sigmund freud,sigmund freud,history_theory_schools,mapped_initial,high,freud_school_terms,\bfreud\b|\bfreudian\b|\bsigmund freud\b,1,history_theory_schools,,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period | key_bigrams_by_period,ijpa | japa,1920-1945 | 1946-1969 | 2010-2025,10.588796,3.0553,199.0,4.519
sign,sign,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology,2010-2025,29.085952,7.3976,53.0,8.0128
sign apa,sign apa,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,14.418193,4.3269,27.0,4.3269
sign notify,sign notify,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,11.71398,3.6859,23.0,3.6859
significance,significance,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,ijpa,1920-1945,45.097997,9.8361,97.0,14.1399
significantly,significantly,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology,2010-2025,19.117085,5.1147,62.0,6.5705
silverman,silverman,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychology,1970-1989,8.92662,4.5874,6.0,4.878
situation,situation,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa | japa | psychoanalytic_psychotherapy,1946-1969 | 1970-1989 | 1990-2009,44.64906,8.3803,1151.0,17.0124
situations,situations,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,psychoanalytic_psychology,1970-1989,6.273385,3.0169,7.0,5.6911
smith,smith,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,japa,1990-2009,6.403138,1.9653,25.0,2.5641
smith hammond,smith hammond,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,japa,1990-2009,2.309364,0.9631,10.0,1.0256
smith henry,smith henry,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,japa,1990-2009,2.648025,1.0656,18.0,1.1282
sobre,sobre,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,ijpa,2010-2025,17.503129,4.3678,54.0,4.4226
social,social,culture_race_social_ethics,mapped_initial,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,1,culture_race_social_ethics,optional_review_medium_confidence,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,psychoanalytic_dialogues | psychoanalytic_psychology | psychoanalytic_psychotherapy,1990-2009 | 2010-2025,62.182206,11.6188,1157.0,20.1342
social cognition,social cognition,culture_race_social_ethics,mapped_initial,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,1,culture_race_social_ethics,optional_review_medium_confidence,,,key_bigrams_by_journal | key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,7.724131,2.6724,19.0,2.7244
social psychology,social psychology,culture_race_social_ethics,mapped_initial,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,1,culture_race_social_ethics,optional_review_medium_confidence,,,key_bigrams_by_journal_period,psychoanalytic_psychology,2010-2025,2.902022,1.2603,9.0,1.4423
somatic symptoms,somatic symptoms,body_sexuality_gender,mapped_initial,high,body_terms,\bbody\b|\bbodily\b|\bsomatic\b|\bcorporeal\b|\bembod(ied|iment)\b,1,body_sexuality_gender,,,,key_bigrams_by_journal_period,psychoanalytic_psychotherapy,1990-2009,1.895032,1.0576,5.0,1.2531
something,something,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period | key_terms_by_period,ijpa | japa,1920-1945 | 2010-2025,31.14539,7.0483,82.0,11.9534
son,son,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,ijpa,2010-2025,21.916976,5.0456,76.0,6.2244
