article_id,journal_key,journal_title_config,journal_title_crossref,publisher_family,article_url,doi,year,publication_date,volume,issue_number,pages,title,authors,article_type,crossref_subjects,abstract_text,n_keywords,keyword_extraction_status,keyword_source,source_file,title_raw,title_clean_initial,doi_norm,source_issue_url,journal_title,online_publication_date,in_scope_year
10.1111/papt.70028,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1111/papt.70028,10.1111/papt.70028,2026,2026-6,99.0,2,386-404,‘From a place of vulnerability’: Experiences of Voice Dialogue to explore self‐criticism,Sarmini Indramohan; Richard J. Brown; Katie Reid; Matthew Pugh; Tobyn Bell,journal-article,,"Abstract Objective/Background Voice Dialogue is a method used to explore and understand different parts of the self. It involves direct communication between a facilitator and aspects of the self to enhance awareness, understanding and differentiation from inner voices. This study aimed to understand how people with low self‐esteem (LSE) experience a Voice‐Dialogue session focusing on self‐criticism (or the ‘self‐critic’). Method Nine individuals from a university setting underwent a single Voice‐Dialogue session that involved direct dialogue with their self‐critic and were subsequently interviewed about their experiences. The interview data were analysed using interpretive phenomenological analysis (IPA). Findings Three group experiential themes (GET) were generated: theme 1, ‘transitioning between selves’, highlights the importance of moving between chairs and embodying the self‐critic; theme 2, ‘what makes the critic’, explores insights into the self‐critic's origins and function; and theme 3, ‘a change in relationships’, describes adaptations in participants' self‐to‐self relating. Conclusions The findings suggest the Voice‐Dialogue method, as a stand‐alone intervention, has therapeutic utility in changing clients' relationship with their self‐criticism. The findings are contextualised within broader theory and literature, and clinical implications are discussed.",0,no_keywords_found,,psychology_psychotherapy_tprp_articles.csv,‘From a place of vulnerability’: Experiences of Voice Dialogue to explore self‐criticism,‘From a place of vulnerability’: Experiences of Voice Dialogue to explore self‐criticism,10.1111/papt.70028,,psychology_psychotherapy_tprp,,False
10.1111/papt.70031,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1111/papt.70031,10.1111/papt.70031,2026,2026-6,99.0,2,425-442,Parenting with psychosis: An exploration of the everyday parenting practices of parents with psychotic disorders,Hannah Collins; Anja Wittkowski; Lauren Wolfenden; Rachel Calam; Lynsey Gregg,journal-article,,"Abstract Objectives Parental psychosis poses challenges for families but tailored support for parents remains limited. Very few studies have explored the day‐to‐day parenting practices of parents with psychosis in depth, and none have qualitatively compared their parenting to that of parents without serious mental illness (SMI). This study compared accounts from parents with psychosis to accounts from parents without SMI to explore parenting practices and identify areas for targeted support. Design and Methods Semi‐structured qualitative interviews were used to explore the daily reality of child‐rearing in 20 parents with psychosis and 20 parents without serious mental illness. Data were analysed thematically using Template Analysis. Results Three a priori themes were deductively generated from an established parenting model: Positive authoritative parenting , Negative authoritarian parenting and Permissive/avoidant parenting . Both groups of parents used positive parenting strategies well, but challenges such as stress and fatigue made it difficult for parents in both groups to maintain this approach consistently. Parents with psychosis were more likely to utilise authoritarian and permissive and avoidant parenting styles due to feeling overwhelmed, subsequently accompanied by feelings of guilt which may in turn, impact their mental health. Conclusions The present study adds novel insights into how additional challenges such as positive symptoms and fatigue can affect the parenting behaviours of parents with psychosis resulting in greater use of maladaptive parenting practices. Evidence‐based parenting courses and utilisation of family‐focused approaches within services are recommended for families affected by parental psychosis to improve outcomes for parents and their children.",0,no_keywords_found,,psychology_psychotherapy_tprp_articles.csv,Parenting with psychosis: An exploration of the everyday parenting practices of parents with psychotic disorders,Parenting with psychosis: An exploration of the everyday parenting practices of parents with psychotic disorders,10.1111/papt.70031,,psychology_psychotherapy_tprp,,False
10.1111/papt.70034,psychology_psychotherapy_tprp,"Psychology and Psychotherapy: Theory, Research and Practice","Psychology and Psychotherapy: Theory, Research and Practice",wiley,https://bpspsychub.onlinelibrary.wiley.com/doi/10.1111/papt.70034,10.1111/papt.70034,2026,2026-6,99.0,2,443-462,Psychological care for Huntington's disease: A qualitative study exploring interventions in the Netherlands,Kasper F. Van der Zwaan; Laura C. M. Kuijper; Pearl J. C. van Lonkhuizen; Raymund A. C. Roos; Susanne T. de Bot,journal-article,,"Abstract Objectives Huntington's disease (HD) is a hereditary neurodegenerative disorder characterized by a range of motor, cognitive, and psychiatric symptoms. Psychological symptoms can arise from being at risk for the disease and from its manifestation, necessitating psychological interventions to address the evolving burden, even before onset. This qualitative study explores the psychological interventions used for HD within the Dutch health care context and identifies barriers and facilitators for their implementation across the different HD disease stages. Methods A qualitative approach using semi‐structured interviews was employed, involving 13 experienced psychologists from HD health care facilities in the Netherlands. Thematic analysis was conducted to explore the types of psychological interventions used and the facilitators and barriers affecting their implementation. Results The study identified a range of generic and more specific interventions, with their application varying according to the stages of HD. Early interventions focus on genetic counselling and trauma therapy, while mid to late‐stage care incorporates acceptance and commitment therapy (ACT) and cognitive behavioural therapy (CBT) for managing psychological symptoms. Late‐stage interventions shift to mediated approaches involving family and care teams. Key barriers include cognitive impairments and difficulties in referring patients to other mental health care providers, while key facilitators include multidisciplinary collaboration and preventive interventions. Conclusions Psychological interventions for HD in the Netherlands are adapted to the disease progression, emphasizing the need for stage‐specific and personalized care. The findings highlight best‐care practices and the importance of early intervention, multidisciplinary collaboration, and evaluation while identifying areas for further research and improvement in care quality.",0,no_keywords_found,,psychology_psychotherapy_tprp_articles.csv,Psychological care for Huntington's disease: A qualitative study exploring interventions in the Netherlands,Psychological care for Huntington's disease: A qualitative study exploring interventions in the Netherlands,10.1111/papt.70034,,psychology_psychotherapy_tprp,,False
10.1037/pst0000577.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000577/pst0000577_supp.html,10.1037/pst0000577.supp,2026,2026,,,,"Supplemental Material for Training Clinicians to Deliver Spiritual Psychotherapy for Inpatient, Residential, and Intensive Treatment (SPIRIT)",,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,"Supplemental Material for Training Clinicians to Deliver Spiritual Psychotherapy for Inpatient, Residential, and Intensive Treatment (SPIRIT)","Supplemental Material for Training Clinicians to Deliver Spiritual Psychotherapy for Inpatient, Residential, and Intensive Treatment (SPIRIT)",10.1037/pst0000577.supp,,psychotherapy,,False
10.1037/pst0000589.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000589/pst0000589_supp.html,10.1037/pst0000589.supp,2026,2026,,,,"Supplemental Material for Psychotherapy Trainees’ Perspectives on the Impact, Usability, and Feasibility of an Online Program to Increase Multicultural Orientation Toward Religious and Spiritual Clients",,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,"Supplemental Material for Psychotherapy Trainees’ Perspectives on the Impact, Usability, and Feasibility of an Online Program to Increase Multicultural Orientation Toward Religious and Spiritual Clients","Supplemental Material for Psychotherapy Trainees’ Perspectives on the Impact, Usability, and Feasibility of an Online Program to Increase Multicultural Orientation Toward Religious and Spiritual Clients",10.1037/pst0000589.supp,,psychotherapy,,False
10.1037/pst0000590.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000590/pst0000590_supp.html,10.1037/pst0000590.supp,2026,2026,,,,Supplemental Material for Cultivating Religious and Spiritual Competencies in Students of Every Faith and No Faith in a University Doctoral Psychology Program,,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,Supplemental Material for Cultivating Religious and Spiritual Competencies in Students of Every Faith and No Faith in a University Doctoral Psychology Program,Supplemental Material for Cultivating Religious and Spiritual Competencies in Students of Every Faith and No Faith in a University Doctoral Psychology Program,10.1037/pst0000590.supp,,psychotherapy,,False
10.1037/pst0000599.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000599/pst0000599_supp.html,10.1037/pst0000599.supp,2026,2026,,,,"Supplemental Material for Cultural Opportunities Involving Spiritual, Existential, Religious, or Theological (SERT) Themes: Three Practical Approaches",,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,"Supplemental Material for Cultural Opportunities Involving Spiritual, Existential, Religious, or Theological (SERT) Themes: Three Practical Approaches","Supplemental Material for Cultural Opportunities Involving Spiritual, Existential, Religious, or Theological (SERT) Themes: Three Practical Approaches",10.1037/pst0000599.supp,,psychotherapy,,False
10.1037/pst0000602.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000602/pst0000602_supp.html,10.1037/pst0000602.supp,2026,2026,,,,Supplemental Material for Development of the Brief Spirituality/Religiosity Functional Competency Scale,,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,Supplemental Material for Development of the Brief Spirituality/Religiosity Functional Competency Scale,Supplemental Material for Development of the Brief Spirituality/Religiosity Functional Competency Scale,10.1037/pst0000602.supp,,psychotherapy,,False
10.1037/pst0000604.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000604/pst0000604_supp.html,10.1037/pst0000604.supp,2026,2026,,,,Supplemental Material for Navigating Spiritual and Religious Identities in Psychotherapy: Lessons From a Multicultural Clinical Psychology Masters Training Program in Israel,,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,Supplemental Material for Navigating Spiritual and Religious Identities in Psychotherapy: Lessons From a Multicultural Clinical Psychology Masters Training Program in Israel,Supplemental Material for Navigating Spiritual and Religious Identities in Psychotherapy: Lessons From a Multicultural Clinical Psychology Masters Training Program in Israel,10.1037/pst0000604.supp,,psychotherapy,,False
10.1037/pst0000609.supp,psychotherapy,Psychotherapy,Psychotherapy,apa,https://supp.apa.org/psycarticles/supplemental/pst0000609/pst0000609_supp.html,10.1037/pst0000609.supp,2026,2026,,,,Supplemental Material for Patient Experiences of Long-Term Psychodynamic Psychotherapy for Mood Disorders: A Naturalistic Semistructured Interview Study,,journal-article,,,0,no_keywords_found,,psychotherapy_articles.csv,Supplemental Material for Patient Experiences of Long-Term Psychodynamic Psychotherapy for Mood Disorders: A Naturalistic Semistructured Interview Study,Supplemental Material for Patient Experiences of Long-Term Psychodynamic Psychotherapy for Mood Disorders: A Naturalistic Semistructured Interview Study,10.1037/pst0000609.supp,,psychotherapy,,False
