scope,field,n_records,n_nonempty,pct_nonempty,median_chars,mean_chars,min_chars,max_chars,median_words,mean_words,n_very_short_lt_80_chars,n_possible_html_artifact,n_possible_copyright_artifact
japa,title_clean,2924,2923,99.97,57.0,62.93,0,695,8.0,9.02,2186,0,0
japa,abstract_clean,2924,2924,100.0,1636.0,1674.45,43,50669,248.0,256.19,4,0,0
japa,text_for_analysis,2924,2924,100.0,1702.5,1739.38,56,50776,257.0,265.21,3,0,0
