rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
137,psychoanalysis psychoanalytic psychotherapy,3,22,12,0.41,2924
138,self object representations,3,22,10,0.342,2924
139,joseph lichtenberg joseph,3,22,11,0.376,2924
140,glen gabbard glen,3,22,16,0.547,2924
141,analyst psychoanalytic institute,3,22,22,0.752,2924
142,psychoanalytic institute new,3,22,21,0.718,2924
143,boston psychoanalytic institute,3,22,21,0.718,2924
144,faculty columbia university,3,22,22,0.752,2924
145,psychiatry behavioral sciences,3,22,21,0.718,2924
146,winter meeting american,3,22,21,0.718,2924
147,program psychotherapy psychoanalysis,3,22,21,0.718,2924
148,iii dimensions new,3,22,8,0.274,2924
149,dimensions new measures,3,22,8,0.274,2924
150,new measures relevant,3,22,8,0.274,2924
151,measures relevant psychoanalysis,3,22,8,0.274,2924
152,psychoanalytic association runninghead,3,21,21,0.718,2924
153,albert einstein college,3,21,19,0.65,2924
154,einstein college medicine,3,21,19,0.65,2924
155,university new york,3,21,20,0.684,2924
156,professor psychiatry columbia,3,21,18,0.616,2924
157,supervising analyst san,3,21,21,0.718,2924
158,professor psychiatry university,3,21,21,0.718,2924
159,suite chicago e-mail,3,21,21,0.718,2924
160,institute northern california,3,21,21,0.718,2924
161,nyu postdoctoral program,3,21,20,0.684,2924
162,charles fisher charles,3,20,12,0.41,2924
163,fisher charles fisher,3,20,12,0.41,2924
164,ralph greenson ralph,3,20,10,0.342,2924
165,greenson ralph greenson,3,20,10,0.342,2924
166,psychoanalytic technique runninghead,3,20,20,0.684,2924
167,psychoanalytic association chicago,3,20,20,0.684,2924
168,western new england,3,20,18,0.616,2924
169,professor department psychiatry,3,20,18,0.616,2924
170,connecticut avenue washington,3,20,20,0.684,2924
171,toronto ontario canada,3,20,18,0.616,2924
172,institute new england,3,20,19,0.65,2924
173,robert emde robert,3,20,11,0.376,2924
174,emde robert emde,3,20,11,0.376,2924
175,professor clinical psychiatry,3,20,20,0.684,2924
176,judy kantrowitz judy,3,20,16,0.547,2924
177,kantrowitz judy kantrowitz,3,20,16,0.547,2924
178,analyst san francisco,3,20,20,0.684,2924
179,mitchell wilson mitchell,3,20,19,0.65,2924
180,wilson mitchell wilson,3,20,19,0.65,2924
181,psychoanalytic institute northern,3,20,20,0.684,2924
182,psychiatry weill cornell,3,20,19,0.65,2924
183,francisco psychoanalytic institute,3,19,17,0.581,2924
184,san francisco california,3,19,18,0.616,2924
185,downstate medical center,3,19,19,0.65,2924
186,clinical associate professor,3,19,19,0.65,2924
187,stanley coen west,3,19,19,0.65,2924
188,coen west end,3,19,19,0.65,2924
189,new england east,3,19,18,0.616,2924
190,kent street brookline,3,19,19,0.65,2924
191,fred busch fred,3,19,12,0.41,2924
192,busch fred busch,3,19,12,0.41,2924
193,submitted publication september,3,19,19,0.65,2924
194,end avenue suite,3,19,19,0.65,2924
195,writing about patients,3,19,6,0.205,2924
196,panel held winter,3,19,18,0.616,2924
197,held winter meeting,3,19,18,0.616,2924
198,between analyst patient,3,18,18,0.616,2924
199,sylvan keiser sylvan,3,18,9,0.308,2924
200,keiser sylvan keiser,3,18,9,0.308,2924
201,phyllis greenacre phyllis,3,18,9,0.308,2924
