year,n_keyword_rows
2008,18
2009,72
2010,104
2011,68
2012,87
2013,96
2014,115
2015,113
2016,95
2017,111
2018,93
2019,64
2020,74
2021,86
2022,110
2023,98
2024,115
2025,77
