year,n_keyword_rows
2005,48
2006,197
2007,238
2008,170
2009,120
2010,129
2011,136
2012,117
2013,143
2014,162
2015,128
2016,206
2017,237
2018,234
2019,166
2020,145
2021,219
2022,175
2023,224
2024,84
2025,114
