year,n_keyword_rows
2002,275
2003,588
2004,428
2005,484
2006,491
2007,482
2008,271
2009,327
2010,320
2011,364
2012,297
2013,195
2014,271
2015,362
2016,337
2017,410
2018,286
2019,199
2020,210
2021,240
2022,214
2023,211
2024,236
2025,286
