keyword,first,second,ratio
dialektyczna terapia behawioralna,0.0,1.0,2.0
dialog motywujący,0.0,1.0,2.0
dielaktyczna terapia behawioralna,0.0,1.0,2.0
dostępność psychoterapii,0.0,1.0,2.0
doznania zmysłowe,0.0,1.0,2.0
terapia przez zabawę,0.0,1.0,2.0
terapia psychoanalityczna,0.0,1.0,2.0
dzieci,0.0,1.0,2.0
dzieci i nastolatki,0.0,1.0,2.0
e-program ograniczania picia alkoholu (E-POP),0.0,1.0,2.0
e-terapia,0.0,1.0,2.0
efektywność programów korektywnych,0.0,1.0,2.0
efektywność psychoterapii,0.0,1.0,2.0
egzystencjalna komunikacja,0.0,1.0,2.0
elektroniczna psychoterapia,0.0,1.0,2.0
terapeuta,0.0,1.0,2.0
terapia,0.0,1.0,2.0
terapia autyzmu,0.0,1.0,2.0
terapia behawioralno-poznawcza,0.0,1.0,2.0
terapia ericksonowska,0.0,1.0,2.0
terapia małżeńska,0.0,1.0,2.0
szpital psychiatryczny,0.0,1.0,2.0
techniki doświadczeniowe,0.0,1.0,2.0
techniki pracy,0.0,1.0,2.0
teoria kontynuowania więzi,0.0,1.0,2.0
teoria relacji z obiektem,0.0,1.0,2.0
endoprotetyka,0.0,1.0,2.0
etyka pracy,0.0,1.0,2.0
etyka relacji terapeutycznej,0.0,1.0,2.0
etyka superwizji,0.0,1.0,2.0
evidence- based medicine,0.0,1.0,2.0
fazy żałoby,0.0,1.0,2.0
dylematy w procesie terapii,0.0,1.0,2.0
dysfunkcja fizyczna terapeuty,0.0,1.0,2.0
dystans fizyczny,0.0,1.0,2.0
funkcjonowanie psychotyczne,0.0,1.0,2.0
funkcjonowanie rodziny,0.0,1.0,2.0
gender,0.0,1.0,2.0
genogram,0.0,1.0,2.0
gerotranscendencja,0.0,1.0,2.0
godność,0.0,1.0,2.0
granice w relacji superwizyjnej,0.0,1.0,2.0
symptomy zaburzeń zdrowia,0.0,1.0,2.0
syndrom fałszywych wspomnień,0.0,1.0,2.0
system poradni psychologiczno-pedagogicznych,0.0,1.0,2.0
systematyczne studium przypadku,0.0,1.0,2.0
systemowa terapia rodzin,0.0,1.0,2.0
systemowe,0.0,1.0,2.0
sytuacja graniczna,0.0,1.0,2.0
sytuacje kryzysowe,0.0,1.0,2.0
szkolenie psychoterapeutów,0.0,1.0,2.0
interwencje terapeutyczne,0.0,1.0,2.0
izolacja,0.0,1.0,2.0
izolacja więzienna,0.0,1.0,2.0
grupa,0.0,1.0,2.0
grupa Balinta,0.0,1.0,2.0
halucnacje słuchowe,0.0,1.0,2.0
hazard patologiczny,0.0,1.0,2.0
hipnoterapia ericksonowska,0.0,1.0,2.0
hipnoza kliniczna,0.0,1.0,2.0
holding psychiczny,0.0,1.0,2.0
filozofia spotkania,0.0,1.0,2.0
fobia,0.0,1.0,2.0
fobia społeczna,0.0,1.0,2.0
style przywiązania,0.0,1.0,2.0
sumienie,0.0,1.0,2.0
superego,0.0,1.0,2.0
superwizja kliniczna,0.0,1.0,2.0
superwizja psychodynamiczna,0.0,1.0,2.0
symptomy,0.0,1.0,2.0
identyfikacja,0.0,1.0,2.0
idiomatyczność śladów przeżycia utraty,0.0,1.0,2.0
impas,0.0,1.0,2.0
intensywna krótkoterminowa psychoterapia dynamiczna,0.0,1.0,2.0
internet,0.0,1.0,2.0
interwencja psychologiczna,0.0,1.0,2.0
interwencje psychologiczne,0.0,1.0,2.0
język,0.0,1.0,2.0
kliniczne studium przypadku,0.0,1.0,2.0
ko-terapia,0.0,1.0,2.0
kompetencja pacjenta do zgody na psychoterapię,0.0,1.0,2.0
kompetencje psychoterapeutyczne,0.0,1.0,2.0
komunikacja mejlowa,0.0,1.0,2.0
komunikacja terapeutyczna,0.0,1.0,2.0
konceptualizacja przypadku,0.0,1.0,2.0
konflikty w parze,0.0,1.0,2.0
konsultacja,0.0,1.0,2.0
kontenerowanie,0.0,1.0,2.0
kontrakt,0.0,1.0,2.0
styl pracy superwizora,0.0,1.0,2.0
styl radzenia sobie ze stresem,0.0,1.0,2.0
style przetwarzania tożsamości,0.0,1.0,2.0
lęk przed śmiercią,0.0,1.0,2.0
mechanizmy zmiany,0.0,1.0,2.0
medykalizacja,0.0,1.0,2.0
koło dzielności,0.0,1.0,2.0
kreatywna para,0.0,1.0,2.0
kryminalistyka,0.0,1.0,2.0
krytyczne wydarzenia życiowe,0.0,1.0,2.0
kwalifikacja do psychoterapii,0.0,1.0,2.0
kwestionariusz MMI-2,0.0,1.0,2.0
