rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
83,technique,1,973,468,8.63,5423,pending,ijpa_high_frequency_recon,technique_process
84,thought,1,972,679,12.521,5423,pending,ijpa_high_frequency_recon,
85,identification,1,971,455,8.39,5423,pending,ijpa_high_frequency_recon,object_relations
86,function,1,960,589,10.861,5423,pending,ijpa_high_frequency_recon,
87,complex,1,960,580,10.695,5423,pending,ijpa_high_frequency_recon,
88,training,1,949,335,6.177,5423,pending,ijpa_high_frequency_recon,
89,thinking,1,943,569,10.492,5423,pending,ijpa_high_frequency_recon,
90,self,1,939,471,8.685,5423,pending,ijpa_high_frequency_recon,self_narcissism
91,fact,1,934,750,13.83,5423,pending,ijpa_high_frequency_recon,
92,like,1,930,702,12.945,5423,pending,ijpa_high_frequency_recon,
93,man,1,919,549,10.124,5423,pending,ijpa_high_frequency_recon,
94,body,1,918,439,8.095,5423,pending,ijpa_high_frequency_recon,body_sexuality
95,often,1,905,726,13.387,5423,pending,ijpa_high_frequency_recon,
96,processes,1,901,589,10.861,5423,pending,ijpa_high_frequency_recon,
97,york,1,900,720,13.277,5423,pending,ijpa_high_frequency_recon,
98,death,1,894,428,7.892,5423,pending,ijpa_high_frequency_recon,
99,problem,1,892,563,10.382,5423,pending,ijpa_high_frequency_recon,
100,himself,1,889,642,11.838,5423,pending,ijpa_high_frequency_recon,
101,relation,1,889,617,11.377,5423,pending,ijpa_high_frequency_recon,
102,change,1,889,475,8.759,5423,pending,ijpa_high_frequency_recon,
103,analysts,1,879,561,10.345,5423,pending,ijpa_high_frequency_recon,
104,state,1,877,617,11.377,5423,pending,ijpa_high_frequency_recon,
105,analyst's,1,877,493,9.091,5423,pending,ijpa_high_frequency_recon,
106,possible,1,868,719,13.258,5423,pending,ijpa_high_frequency_recon,
107,against,1,863,629,11.599,5423,pending,ijpa_high_frequency_recon,
108,further,1,863,695,12.816,5423,pending,ijpa_high_frequency_recon,
109,much,1,856,695,12.816,5423,pending,ijpa_high_frequency_recon,
110,before,1,852,704,12.982,5423,pending,ijpa_high_frequency_recon,
111,ideas,1,852,613,11.304,5423,pending,ijpa_high_frequency_recon,
112,problems,1,852,587,10.824,5423,pending,ijpa_high_frequency_recon,
113,research,1,851,466,8.593,5423,pending,ijpa_high_frequency_recon,
114,psychology,1,845,464,8.556,5423,pending,ijpa_high_frequency_recon,
115,human,1,844,579,10.677,5423,pending,ijpa_high_frequency_recon,
116,psychological,1,843,559,10.308,5423,pending,ijpa_high_frequency_recon,
117,com,1,842,778,14.346,5423,pending,ijpa_high_frequency_recon,
118,later,1,837,696,12.834,5423,pending,ijpa_high_frequency_recon,
119,thus,1,836,721,13.295,5423,pending,ijpa_high_frequency_recon,
120,internal,1,828,526,9.699,5423,pending,ijpa_high_frequency_recon,
121,here,1,826,658,12.134,5423,pending,ijpa_high_frequency_recon,
122,objects,1,826,477,8.796,5423,pending,ijpa_high_frequency_recon,object_relations
123,place,1,824,663,12.226,5423,pending,ijpa_high_frequency_recon,
124,die,1,818,169,3.116,5423,pending,ijpa_high_frequency_recon,
125,practice,1,817,530,9.773,5423,pending,ijpa_high_frequency_recon,
126,children,1,813,444,8.187,5423,pending,ijpa_high_frequency_recon,development_attachment
127,narcissistic,1,813,394,7.265,5423,pending,ijpa_high_frequency_recon,self_narcissism
128,experiences,1,811,580,10.695,5423,pending,ijpa_high_frequency_recon,
129,meaning,1,808,543,10.013,5423,pending,ijpa_high_frequency_recon,language_narrative_meaning
130,question,1,803,578,10.658,5423,pending,ijpa_high_frequency_recon,
131,history,1,801,567,10.455,5423,pending,ijpa_high_frequency_recon,
132,now,1,799,625,11.525,5423,pending,ijpa_high_frequency_recon,
133,over,1,795,610,11.248,5423,pending,ijpa_high_frequency_recon,
134,importance,1,793,639,11.783,5423,pending,ijpa_high_frequency_recon,
135,character,1,788,447,8.243,5423,pending,ijpa_high_frequency_recon,
136,accepted,1,788,762,14.051,5423,pending,ijpa_high_frequency_recon,
137,rather,1,785,688,12.687,5423,pending,ijpa_high_frequency_recon,
138,become,1,785,666,12.281,5423,pending,ijpa_high_frequency_recon,
139,des,1,781,183,3.375,5423,pending,ijpa_high_frequency_recon,
140,since,1,780,654,12.06,5423,pending,ijpa_high_frequency_recon,
141,general,1,777,607,11.193,5423,pending,ijpa_high_frequency_recon,
142,another,1,774,650,11.986,5423,pending,ijpa_high_frequency_recon,
143,trauma,1,774,282,5.2,5423,pending,ijpa_high_frequency_recon,affect_trauma_regulation
144,father,1,769,374,6.897,5423,pending,ijpa_high_frequency_recon,
145,towards,1,766,559,10.308,5423,pending,ijpa_high_frequency_recon,
146,und,1,758,154,2.84,5423,pending,ijpa_high_frequency_recon,
147,society,1,757,412,7.597,5423,pending,ijpa_high_frequency_recon,
148,individual,1,752,550,10.142,5423,pending,ijpa_high_frequency_recon,
149,specific,1,747,575,10.603,5423,pending,ijpa_high_frequency_recon,
150,make,1,747,650,11.986,5423,pending,ijpa_high_frequency_recon,
151,del,1,745,122,2.25,5423,pending,ijpa_high_frequency_recon,
152,group,1,737,425,7.837,5423,pending,ijpa_high_frequency_recon,
153,language,1,734,354,6.528,5423,pending,ijpa_high_frequency_recon,language_narrative_meaning
154,knowledge,1,733,520,9.589,5423,pending,ijpa_high_frequency_recon,
155,course,1,731,634,11.691,5423,pending,ijpa_high_frequency_recon,
156,defence,1,730,381,7.026,5423,pending,ijpa_high_frequency_recon,
157,order,1,728,629,11.599,5423,pending,ijpa_high_frequency_recon,
158,shall,1,727,452,8.335,5423,pending,ijpa_high_frequency_recon,
159,various,1,726,619,11.414,5423,pending,ijpa_high_frequency_recon,
160,structure,1,726,498,9.183,5423,pending,ijpa_high_frequency_recon,
161,second,1,719,578,10.658,5423,pending,ijpa_high_frequency_recon,
162,personality,1,717,465,8.575,5423,pending,ijpa_high_frequency_recon,
163,states,1,713,465,8.575,5423,pending,ijpa_high_frequency_recon,
164,emotional,1,713,454,8.372,5423,pending,ijpa_high_frequency_recon,affect_trauma_regulation
165,conflict,1,711,415,7.653,5423,pending,ijpa_high_frequency_recon,
166,external,1,706,479,8.833,5423,pending,ijpa_high_frequency_recon,
167,scientific,1,704,431,7.948,5423,pending,ijpa_high_frequency_recon,
168,need,1,704,555,10.234,5423,pending,ijpa_high_frequency_recon,
169,psycho-analytical,1,703,393,7.247,5423,pending,ijpa_high_frequency_recon,
170,love,1,703,349,6.436,5423,pending,ijpa_high_frequency_recon,
171,following,1,702,619,11.414,5423,pending,ijpa_high_frequency_recon,
172,contribution,1,695,401,7.394,5423,pending,ijpa_high_frequency_recon,
173,behaviour,1,693,428,7.892,5423,pending,ijpa_high_frequency_recon,
174,come,1,692,530,9.773,5423,pending,ijpa_high_frequency_recon,
175,little,1,687,482,8.888,5423,pending,ijpa_high_frequency_recon,
176,working,1,682,433,7.985,5423,pending,ijpa_high_frequency_recon,
177,attention,1,681,603,11.119,5423,pending,ijpa_high_frequency_recon,
178,social,1,678,421,7.763,5423,pending,ijpa_high_frequency_recon,culture_social_ethics
179,found,1,677,570,10.511,5423,pending,ijpa_high_frequency_recon,
180,model,1,676,364,6.712,5423,pending,ijpa_high_frequency_recon,
181,neurosis,1,671,349,6.436,5423,pending,ijpa_high_frequency_recon,
182,phenomena,1,668,466,8.593,5423,pending,ijpa_high_frequency_recon,
183,que,1,660,107,1.973,5423,pending,ijpa_high_frequency_recon,
184,literature,1,658,528,9.736,5423,pending,ijpa_high_frequency_recon,
185,great,1,652,532,9.81,5423,pending,ijpa_high_frequency_recon,
186,attempt,1,651,540,9.958,5423,pending,ijpa_high_frequency_recon,
187,sexuality,1,645,255,4.702,5423,pending,ijpa_high_frequency_recon,body_sexuality
188,theories,1,644,406,7.487,5423,pending,ijpa_high_frequency_recon,
189,given,1,641,570,10.511,5423,pending,ijpa_high_frequency_recon,
190,means,1,640,531,9.792,5423,pending,ijpa_high_frequency_recon,
191,infantile,1,637,364,6.712,5423,pending,ijpa_high_frequency_recon,
192,countertransference,1,636,326,6.011,5423,pending,ijpa_high_frequency_recon,transference_countertransference
193,psychotic,1,634,300,5.532,5423,pending,ijpa_high_frequency_recon,
194,primary,1,631,399,7.358,5423,pending,ijpa_high_frequency_recon,
195,others,1,625,528,9.736,5423,pending,ijpa_high_frequency_recon,
196,although,1,622,545,10.05,5423,pending,ijpa_high_frequency_recon,
197,yet,1,620,544,10.031,5423,pending,ijpa_high_frequency_recon,
198,therefore,1,619,524,9.663,5423,pending,ijpa_high_frequency_recon,
199,relations,1,612,407,7.505,5423,pending,ijpa_high_frequency_recon,
200,factors,1,612,397,7.321,5423,pending,ijpa_high_frequency_recon,
201,international,1,609,351,6.472,5423,pending,ijpa_high_frequency_recon,
202,superego,1,604,257,4.739,5423,pending,ijpa_high_frequency_recon,
203,still,1,603,501,9.238,5423,pending,ijpa_high_frequency_recon,
204,field,1,603,397,7.321,5423,pending,ijpa_high_frequency_recon,relational_intersubjective
205,association,1,601,340,6.27,5423,pending,ijpa_high_frequency_recon,
206,oedipus,1,600,244,4.499,5423,pending,ijpa_high_frequency_recon,
207,drive,1,599,319,5.882,5423,pending,ijpa_high_frequency_recon,
208,street,1,597,564,10.4,5423,pending,ijpa_high_frequency_recon,
209,take,1,596,518,9.552,5423,pending,ijpa_high_frequency_recon,
210,always,1,594,494,9.109,5423,pending,ijpa_high_frequency_recon,
211,formation,1,593,328,6.048,5423,pending,ijpa_high_frequency_recon,
212,person,1,591,417,7.689,5423,pending,ijpa_high_frequency_recon,
213,words,1,590,420,7.745,5423,pending,ijpa_high_frequency_recon,
214,past,1,588,389,7.173,5423,pending,ijpa_high_frequency_recon,
215,people,1,586,421,7.763,5423,pending,ijpa_high_frequency_recon,
216,cannot,1,583,494,9.109,5423,pending,ijpa_high_frequency_recon,
217,interest,1,579,467,8.611,5423,pending,ijpa_high_frequency_recon,
218,feelings,1,578,395,7.284,5423,pending,ijpa_high_frequency_recon,
219,fantasy,1,575,283,5.219,5423,pending,ijpa_high_frequency_recon,
220,final,1,570,524,9.663,5423,pending,ijpa_high_frequency_recon,
221,capacity,1,568,421,7.763,5423,pending,ijpa_high_frequency_recon,
222,klein,1,567,268,4.942,5423,pending,ijpa_high_frequency_recon,
223,symptoms,1,564,372,6.86,5423,pending,ijpa_high_frequency_recon,
224,john,1,561,155,2.858,5423,pending,ijpa_high_frequency_recon,
225,able,1,560,484,8.925,5423,pending,ijpa_high_frequency_recon,
226,normal,1,559,366,6.749,5423,pending,ijpa_high_frequency_recon,
227,position,1,559,410,7.56,5423,pending,ijpa_high_frequency_recon,
228,central,1,558,454,8.372,5423,pending,ijpa_high_frequency_recon,
229,congress,1,552,297,5.477,5423,pending,ijpa_high_frequency_recon,
230,idea,1,551,424,7.819,5423,pending,ijpa_high_frequency_recon,
231,whether,1,551,449,8.28,5423,pending,ijpa_high_frequency_recon,
232,forms,1,551,431,7.948,5423,pending,ijpa_high_frequency_recon,
233,good,1,547,389,7.173,5423,pending,ijpa_high_frequency_recon,
234,seems,1,546,464,8.556,5423,pending,ijpa_high_frequency_recon,
235,contact,1,543,432,7.966,5423,pending,ijpa_high_frequency_recon,
236,special,1,543,415,7.653,5423,pending,ijpa_high_frequency_recon,
237,know,1,543,439,8.095,5423,pending,ijpa_high_frequency_recon,
238,think,1,542,422,7.782,5423,pending,ijpa_high_frequency_recon,
239,robert,1,541,155,2.858,5423,pending,ijpa_high_frequency_recon,
240,mechanisms,1,539,346,6.38,5423,pending,ijpa_high_frequency_recon,
241,less,1,539,452,8.335,5423,pending,ijpa_high_frequency_recon,
242,play,1,538,320,5.901,5423,pending,ijpa_high_frequency_recon,
243,functions,1,538,369,6.804,5423,pending,ijpa_high_frequency_recon,
244,result,1,537,461,8.501,5423,pending,ijpa_high_frequency_recon,
245,method,1,536,323,5.956,5423,pending,ijpa_high_frequency_recon,
246,childhood,1,532,366,6.749,5423,pending,ijpa_high_frequency_recon,
247,find,1,531,458,8.446,5423,pending,ijpa_high_frequency_recon,
248,number,1,531,455,8.39,5423,pending,ijpa_high_frequency_recon,
249,observations,1,530,355,6.546,5423,pending,ijpa_high_frequency_recon,
250,particularly,1,527,461,8.501,5423,pending,ijpa_high_frequency_recon,
1,new york,2,889,715,13.185,5423,pending,ijpa_high_frequency_recon,
2,psychoanalytic theory,2,386,254,4.684,5423,pending,ijpa_high_frequency_recon,
3,final version,2,370,369,6.804,5423,pending,ijpa_high_frequency_recon,
4,version accepted,2,363,363,6.694,5423,pending,ijpa_high_frequency_recon,
5,gmail com,2,357,352,6.491,5423,pending,ijpa_high_frequency_recon,
6,oedipus complex,2,352,166,3.061,5423,pending,ijpa_high_frequency_recon,
7,clinical material,2,351,315,5.809,5423,pending,ijpa_high_frequency_recon,
8,acting out,2,347,112,2.065,5423,pending,ijpa_high_frequency_recon,
9,analytic process,2,335,214,3.946,5423,pending,ijpa_high_frequency_recon,technique_process
10,melanie klein,2,306,152,2.803,5423,pending,ijpa_high_frequency_recon,
11,relationship between,2,306,253,4.665,5423,pending,ijpa_high_frequency_recon,
12,sigmund freud,2,302,130,2.397,5423,pending,ijpa_high_frequency_recon,
13,ernest jones,2,299,131,2.416,5423,pending,ijpa_high_frequency_recon,
14,object relations,2,291,190,3.504,5423,pending,ijpa_high_frequency_recon,object_relations
15,same time,2,276,259,4.776,5423,pending,ijpa_high_frequency_recon,
16,buenos aires,2,269,191,3.522,5423,pending,ijpa_high_frequency_recon,
17,anna freud,2,266,127,2.342,5423,pending,ijpa_high_frequency_recon,
18,projective identification,2,251,125,2.305,5423,pending,ijpa_high_frequency_recon,object_relations
19,psychoanalytic treatment,2,229,139,2.563,5423,pending,ijpa_high_frequency_recon,technique_process
20,psychic reality,2,227,97,1.789,5423,pending,ijpa_high_frequency_recon,
21,accepted publication,2,225,225,4.149,5423,pending,ijpa_high_frequency_recon,
22,analytic situation,2,216,155,2.858,5423,pending,ijpa_high_frequency_recon,technique_process
23,other hand,2,214,206,3.799,5423,pending,ijpa_high_frequency_recon,
24,patient analyst,2,207,172,3.172,5423,pending,ijpa_high_frequency_recon,
25,international psycho-analytical,2,201,133,2.453,5423,pending,ijpa_high_frequency_recon,
26,between two,2,185,176,3.245,5423,pending,ijpa_high_frequency_recon,
27,edward glover,2,175,43,0.793,5423,pending,ijpa_high_frequency_recon,
28,pointed out,2,172,159,2.932,5423,pending,ijpa_high_frequency_recon,
29,analytic work,2,166,147,2.711,5423,pending,ijpa_high_frequency_recon,technique_process
