period,n_records,n_journals,min_year,max_year
1920-1945,686,1,1920,1945
1946-1969,1205,1,1946,1969
1970-1989,915,1,1970,1989
1990-2009,1396,1,1990,2009
2010-2025,1221,1,2010,2025
