scope,field,n_records,n_nonempty,pct_nonempty,median_chars,mean_chars,min_chars,max_chars,median_words,mean_words,n_very_short_lt_80_chars,n_possible_html_artifact,n_possible_copyright_artifact
psychoanalytic_psychotherapy,title_clean,870,870,100.0,69.0,75.71,6,312,10.0,10.76,519,0,0
psychoanalytic_psychotherapy,abstract_clean,870,870,100.0,1379.5,1488.39,69,4014,206.0,224.8,4,0,0
psychoanalytic_psychotherapy,text_for_analysis,870,870,100.0,1449.5,1566.1,97,4107,217.0,235.56,0,0,0
