article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id
111782,"https://www.archivespp.pl/From-Editors,111782,0,2.html",2019,21,3,From Editors,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
114623,"https://www.archivespp.pl/Editorial,114623,0,2.html",2019,21,4,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
114623,"https://www.archivespp.pl/Editorial,114623,0,2.html",2019,21,4,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
114623,"https://www.archivespp.pl/Editorial,114623,0,2.html",2019,21,4,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
118577,"https://www.archivespp.pl/From-Editors,118577,0,2.html",2020,22,1,From Editors,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
118577,"https://www.archivespp.pl/From-Editors,118577,0,2.html",2020,22,1,From Editors,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
118577,"https://www.archivespp.pl/From-Editors,118577,0,2.html",2020,22,1,From Editors,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
122834,"https://www.archivespp.pl/Editorial,122834,0,2.html",2020,22,2,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
122834,"https://www.archivespp.pl/Editorial,122834,0,2.html",2020,22,2,Editorial,2,editorial1,editorial1,editorial,editorial,app_sem_0520,exact_map:editorial1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial1/285464,unchanged,app_kw_0544
122834,"https://www.archivespp.pl/Editorial,122834,0,2.html",2020,22,2,Editorial,3,editorial2,editorial2,editorial,editorial,app_sem_0520,exact_map:editorial2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial2/285465,unchanged,app_kw_0545
131281,"https://www.archivespp.pl/Editorial,131281,0,2.html",2020,22,4,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
131281,"https://www.archivespp.pl/Editorial,131281,0,2.html",2020,22,4,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
131281,"https://www.archivespp.pl/Editorial,131281,0,2.html",2020,22,4,Editorial,3,editoril 2,editoril 2,editorial,editorial,app_sem_0520,exact_map:editoril 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editoril+2/317745,unchanged,app_kw_0546
