article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_url,keyword_norm,normalization_actions,keyword_norm_id,qa_flags
114623,"https://www.archivespp.pl/Editorial,114623,0,2.html",2019,21,4,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
114623,"https://www.archivespp.pl/Editorial,114623,0,2.html",2019,21,4,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
114623,"https://www.archivespp.pl/Editorial,114623,0,2.html",2019,21,4,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
118577,"https://www.archivespp.pl/From-Editors,118577,0,2.html",2020,22,1,From Editors,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
118577,"https://www.archivespp.pl/From-Editors,118577,0,2.html",2020,22,1,From Editors,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
118577,"https://www.archivespp.pl/From-Editors,118577,0,2.html",2020,22,1,From Editors,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
122834,"https://www.archivespp.pl/Editorial,122834,0,2.html",2020,22,2,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
131281,"https://www.archivespp.pl/Editorial,131281,0,2.html",2020,22,4,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
131281,"https://www.archivespp.pl/Editorial,131281,0,2.html",2020,22,4,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
134709,"https://www.archivespp.pl/Editorial,134709,0,2.html",2021,23,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
134709,"https://www.archivespp.pl/Editorial,134709,0,2.html",2021,23,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
134709,"https://www.archivespp.pl/Editorial,134709,0,2.html",2021,23,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
139249,"https://www.archivespp.pl/From-Editors,139249,0,2.html",2021,23,2,From Editors,1,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
139249,"https://www.archivespp.pl/From-Editors,139249,0,2.html",2021,23,2,From Editors,2,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
