keyword_raw,keyword_norm,keyword_norm_id,normalization_actions,n_records,n_articles,first_year,last_year
anti-Semitism,anti-semitism,app_kw_0081,lowercase,1,1,2010,2010
anti-stigma campaign,anti-stigma campaign,app_kw_0082,unchanged,1,1,2020,2020
anticipated and experienced stigma,anticipated and experienced stigma,app_kw_0083,unchanged,1,1,2009,2009
Antidepressant,antidepressant,app_kw_0084,lowercase,3,3,2018,2020
antioxidants,antioxidants,app_kw_0085,unchanged,1,1,2024,2024
antipshychotics,antipshychotics,app_kw_0086,unchanged,1,1,2013,2013
antipsychotic,antipsychotic,app_kw_0087,unchanged,2,2,2010,2015
antipsychotic agents,antipsychotic agents,app_kw_0088,unchanged,1,1,2021,2021
antipsychotics,antipsychotics,app_kw_0089,unchanged,3,3,2009,2014
antisocial disorders,antisocial disorders,app_kw_0090,unchanged,1,1,2024,2024
antisocial personality disorder / borderline personality disorder,antisocial personality disorder/borderline personality disorder,app_kw_0091,slash_spacing,1,1,2015,2015
Anxiety,anxiety,app_kw_0092,lowercase,1,1,2022,2022
anxiety,anxiety,app_kw_0092,unchanged,31,31,2008,2025
anxiety and depressive disorders,anxiety and depressive disorders,app_kw_0093,unchanged,1,1,2009,2009
anxiety disorder,anxiety disorder,app_kw_0094,unchanged,1,1,2020,2020
anxiety disorders,anxiety disorders,app_kw_0095,unchanged,4,4,2006,2025
anxiety paradoxical effects,anxiety paradoxical effects,app_kw_0096,unchanged,1,1,2006,2006
anxiety sensitivity,anxiety sensitivity,app_kw_0097,unchanged,1,1,2021,2021
apoliprotein E,apoliprotein e,app_kw_0098,lowercase,1,1,2007,2007
appearance orientation,appearance orientation,app_kw_0099,unchanged,1,1,2011,2011
Applicants,applicants,app_kw_0100,lowercase,1,1,2019,2019
archetype,archetype,app_kw_0101,unchanged,1,1,2020,2020
Archive,archive,app_kw_0102,lowercase,1,1,2006,2006
Argentine tango,argentine tango,app_kw_0103,lowercase,1,1,2022,2022
aripiprazole,aripiprazole,app_kw_0104,unchanged,1,1,2017,2017
Arnold chiari malformation,arnold chiari malformation,app_kw_0105,lowercase,1,1,2018,2018
arrival,arrival,app_kw_0106,unchanged,1,1,2005,2005
arterial stiffness,arterial stiffness,app_kw_0107,unchanged,1,1,2019,2019
arts psychotherapies,arts psychotherapies,app_kw_0108,unchanged,1,1,2013,2013
arts psychotherapy,arts psychotherapy,app_kw_0109,unchanged,1,1,2017,2017
aspirin-induced asthma,aspirin-induced asthma,app_kw_0110,unchanged,1,1,2011,2011
ASRQ,asrq,app_kw_0111,lowercase,1,1,2014,2014
assertiveness,assertiveness,app_kw_0112,unchanged,1,1,2024,2024
assessment,assessment,app_kw_0113,unchanged,3,3,2015,2018
association,association,app_kw_0114,unchanged,1,1,2006,2006
Asthma,asthma,app_kw_0115,lowercase,1,1,2012,2012
asthma,asthma,app_kw_0115,unchanged,3,3,2011,2012
asthma severity,asthma severity,app_kw_0116,unchanged,1,1,2011,2011
athletic ideal,athletic ideal,app_kw_0117,unchanged,1,1,2008,2008
Atopic Dermatitis,atopic dermatitis,app_kw_0118,lowercase,1,1,2021,2021
ATOS,atos,app_kw_0119,lowercase,1,1,2009,2009
Attachment,attachment,app_kw_0120,lowercase,2,2,2023,2023
attachment,attachment,app_kw_0120,unchanged,2,2,2021,2023
attachment style,attachment style,app_kw_0121,unchanged,3,3,2022,2023
attachment theory,attachment theory,app_kw_0122,unchanged,2,2,2009,2013
attempted suicide,attempted suicide,app_kw_0123,unchanged,1,1,2019,2019
attenuation of pair bonding,attenuation of pair bonding,app_kw_0124,unchanged,1,1,2006,2006
attitude,attitude,app_kw_0125,unchanged,7,7,2008,2023
Attitude Measurement,attitude measurement,app_kw_0126,lowercase,1,1,2024,2024
Attitude Scale,attitude scale,app_kw_0127,lowercase,1,1,2024,2024
attitudes,attitudes,app_kw_0128,unchanged,1,1,2022,2022
attitudes towards the body and eating,attitudes towards the body and eating,app_kw_0129,unchanged,1,1,2013,2013
atypical gender identity development,atypical gender identity development,app_kw_0130,unchanged,1,1,2017,2017
audit,audit,app_kw_0131,unchanged,1,1,2018,2018
auditory hallucinations,auditory hallucinations,app_kw_0132,unchanged,1,1,2022,2022
augmentation,augmentation,app_kw_0133,unchanged,1,1,2018,2018
author's memories,author's memories,app_kw_0134,unchanged,1,1,2015,2015
Authors index,authors index,app_kw_0135,lowercase,1,1,2006,2006
autism,autism,app_kw_0136,unchanged,2,2,2022,2023
autism spectrum,autism spectrum,app_kw_0137,unchanged,1,1,2025,2025
Autism Spectrum Disorders,autism spectrum disorders,app_kw_0138,lowercase,1,1,2019,2019
autism spectrum disorders,autism spectrum disorders,app_kw_0138,unchanged,1,1,2022,2022
autism_,autism_,app_kw_0139,unchanged,1,1,2019,2019
auto-amputation,auto-amputation,app_kw_0140,unchanged,1,1,2018,2018
