rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
51,any,1,1341,961,17.721,5423,pending,ijpa_high_frequency_recon,,any,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
52,understanding,1,1277,927,17.094,5423,pending,ijpa_high_frequency_recon,,understanding,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
53,patient's,1,1234,750,13.83,5423,pending,ijpa_high_frequency_recon,,patient's,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
54,anxiety,1,1217,546,10.068,5423,pending,ijpa_high_frequency_recon,,anxiety,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
55,mind,1,1208,772,14.236,5423,pending,ijpa_high_frequency_recon,,mind,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
56,aspects,1,1202,823,15.176,5423,pending,ijpa_high_frequency_recon,,aspects,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
57,world,1,1188,801,14.77,5423,pending,ijpa_high_frequency_recon,,world,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
59,certain,1,1170,884,16.301,5423,pending,ijpa_high_frequency_recon,,certain,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
60,interpretation,1,1167,572,10.548,5423,pending,ijpa_high_frequency_recon,technique_process,interpretation,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
61,after,1,1164,884,16.301,5423,pending,ijpa_high_frequency_recon,,after,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
62,summary,1,1146,1091,20.118,5423,pending,ijpa_high_frequency_recon,,summary,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
63,made,1,1137,950,17.518,5423,pending,ijpa_high_frequency_recon,,made,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
64,dream,1,1125,340,6.27,5423,pending,ijpa_high_frequency_recon,,dream,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
65,even,1,1124,895,16.504,5423,pending,ijpa_high_frequency_recon,,even,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
66,situation,1,1123,707,13.037,5423,pending,ijpa_high_frequency_recon,,situation,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
67,must,1,1120,777,14.328,5423,pending,ijpa_high_frequency_recon,,must,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
68,however,1,1114,934,17.223,5423,pending,ijpa_high_frequency_recon,,however,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
70,same,1,1100,853,15.729,5423,pending,ijpa_high_frequency_recon,,same,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
71,sexual,1,1078,523,9.644,5423,pending,ijpa_high_frequency_recon,body_sexuality,sexual,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
72,nature,1,1045,755,13.922,5423,pending,ijpa_high_frequency_recon,,nature,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
73,three,1,1040,739,13.627,5423,pending,ijpa_high_frequency_recon,,three,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
74,important,1,1018,838,15.453,5423,pending,ijpa_high_frequency_recon,,important,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
75,der,1,1017,188,3.467,5423,pending,ijpa_high_frequency_recon,,der,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
