semantic_family,semantic_family_label,family_group,term,n_articles,n_family_articles,share_of_family_articles_pct,risk_reasons,recommended_action
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,unconscious,2037,3844,52.99,high_share_within_family,review_term_specificity
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,wish,618,3844,16.08,short_single_token,review_term_specificity
ego_self_narcissism,Ego / self / narcissism,Self / structure,subjectivity,369,4910,7.52,family_specific_high_risk_term,review_term_specificity
ego_self_narcissism,Ego / self / narcissism,Self / structure,self,2612,4910,53.2,family_specific_high_risk_term | high_share_within_family | short_single_token | known_broad_polysemous_term,review_term_specificity
ego_self_narcissism,Ego / self / narcissism,Self / structure,ego,1721,4910,35.05,short_single_token,review_term_specificity
ego_self_narcissism,Ego / self / narcissism,Self / structure,identity,627,4910,12.77,family_specific_high_risk_term,review_term_specificity
object_relations,Object relations,Object-relational traditions,object,2449,3462,70.74,family_specific_high_risk_term | high_share_within_family | known_broad_polysemous_term,review_term_specificity
object_relations,Object relations,Object-relational traditions,internal,942,3462,27.21,family_specific_high_risk_term,review_term_specificity
object_relations,Object relations,Object-relational traditions,objects,741,3462,21.4,family_specific_high_risk_term,review_term_specificity
object_relations,Object relations,Object-relational traditions,external,730,3462,21.09,family_specific_high_risk_term,review_term_specificity
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,bion,394,693,56.85,high_share_within_family | short_single_token,review_term_specificity
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,mother,1343,2056,65.32,high_share_within_family,review_term_specificity
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,play,805,2056,39.15,short_single_token,review_term_specificity
attachment_development_infant,Attachment / development / infant,Developmental / attachment,early,1828,4630,39.48,family_specific_high_risk_term,review_term_specificity
attachment_development_infant,Attachment / development / infant,Developmental / attachment,child,1603,4630,34.62,family_specific_high_risk_term,review_term_specificity
attachment_development_infant,Attachment / development / infant,Developmental / attachment,children,968,4630,20.91,family_specific_high_risk_term,review_term_specificity
attachment_development_infant,Attachment / development / infant,Developmental / attachment,loss,677,4630,14.62,short_single_token,review_term_specificity
attachment_development_infant,Attachment / development / infant,Developmental / attachment,family,559,4630,12.07,family_specific_high_risk_term,review_term_specificity
transference_countertransference,Transference / countertransference,Clinical process / technique,transference,1764,2298,76.76,high_share_within_family,review_term_specificity
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,setting,641,3138,20.43,family_specific_high_risk_term,review_term_specificity
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,technical,548,3138,17.46,family_specific_high_risk_term,review_term_specificity
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,mutual,322,4409,7.3,family_specific_high_risk_term,review_term_specificity
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,relationship,2625,4409,59.54,family_specific_high_risk_term | high_share_within_family | known_broad_polysemous_term,review_term_specificity
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,relationships,835,4409,18.94,family_specific_high_risk_term,review_term_specificity
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,dialogue,738,4409,16.74,family_specific_high_risk_term,review_term_specificity
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,emotional,1015,4036,25.15,family_specific_high_risk_term,review_term_specificity
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,anxiety,976,4036,24.18,family_specific_high_risk_term,review_term_specificity
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,affect,906,4036,22.45,family_specific_high_risk_term,review_term_specificity
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,feelings,794,4036,19.67,family_specific_high_risk_term,review_term_specificity
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,primitive,523,1196,43.73,high_share_within_family,review_term_specificity
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,psychotic,488,1196,40.8,high_share_within_family,review_term_specificity
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,body,898,2503,35.88,short_single_token,review_term_specificity
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,meaning,1268,2838,44.68,high_share_within_family,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,responsibility,203,2667,7.61,family_specific_high_risk_term,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,race,186,2667,6.97,short_single_token,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,social,1191,2667,44.66,family_specific_high_risk_term | high_share_within_family,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,culture,568,2667,21.3,family_specific_high_risk_term,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,cultural,540,2667,20.25,family_specific_high_risk_term,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,political,405,2667,15.19,family_specific_high_risk_term,review_term_specificity
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,war,354,2667,13.27,short_single_token,review_term_specificity
empirical_research_measurement,Empirical research / measurement,Research / method,evidence,653,1803,36.22,family_specific_high_risk_term,review_term_specificity
history_theory_schools,History / theory / schools,History / theory,freud,3099,3436,90.19,high_share_within_family,review_term_specificity
history_theory_schools,History / theory / schools,History / theory,freud's,1718,3436,50.0,high_share_within_family,review_term_specificity
