rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
67,ijpa,1920-1945,phallic phase,terms_bigram,686,11478,12,25,1.7493,0.2178,1.5315,8.1906,3.928125
68,ijpa,1920-1945,human beings,terms_bigram,686,11478,15,91,2.1866,0.7928,1.3938,2.8305,3.864345
69,ijpa,1920-1945,journal psycho-analysis,terms_bigram,686,11478,12,32,1.7493,0.2788,1.4705,6.4265,3.771699
70,ijpa,1920-1945,little boy,terms_bigram,686,11478,11,16,1.6035,0.1394,1.4641,11.6456,3.638155
71,ijpa,1920-1945,outer world,terms_bigram,686,11478,12,39,1.7493,0.3398,1.4095,5.2876,3.615272
72,ijpa,1920-1945,freud pointed,terms_bigram,686,11478,11,19,1.6035,0.1655,1.438,9.854,3.573207
73,ijpa,1920-1945,reik theodor,terms_bigram,686,11478,10,2,1.4577,0.0174,1.4403,70.1773,3.453692
74,ijpa,1920-1945,papers psycho-analysis,terms_bigram,686,11478,10,3,1.4577,0.0261,1.4316,50.1266,3.4328
75,ijpa,1920-1945,takes place,terms_bigram,686,11478,16,129,2.3324,1.1239,1.2085,2.1289,3.42386
76,ijpa,1920-1945,ella sharpe,terms_bigram,686,11478,10,8,1.4577,0.0697,1.388,20.6404,3.328344
77,ijpa,1920-1945,joan riviere,terms_bigram,686,11478,10,12,1.4577,0.1045,1.3532,14.0355,3.244779
78,ijpa,1920-1945,society november,terms_bigram,686,11478,10,12,1.4577,0.1045,1.3532,14.0355,3.244779
79,ijpa,1920-1945,theodor reik,terms_bigram,686,11478,10,13,1.4577,0.1133,1.3445,12.9958,3.223888
80,ijpa,1920-1945,opposite sex,terms_bigram,686,11478,10,17,1.4577,0.1481,1.3096,10.0253,3.140323
81,ijpa,1920-1945,budapest ferenczi,terms_bigram,686,11478,9,0,1.312,0.0,1.312,317.4687,3.020884
82,ijpa,1920-1945,fourteenth international,terms_bigram,686,11478,9,0,1.312,0.0,1.312,317.4687,3.020884
83,ijpa,1920-1945,congress lucerne,terms_bigram,686,11478,9,1,1.312,0.0087,1.3032,105.8229,3.000823
84,ijpa,1920-1945,untranslated freud,terms_bigram,686,11478,9,2,1.312,0.0174,1.2945,63.4937,2.980763
85,ijpa,1920-1945,riviere joan,terms_bigram,686,11478,9,3,1.312,0.0261,1.2858,45.3527,2.960702
86,ijpa,1920-1945,ferenczi budapest,terms_bigram,686,11478,9,3,1.312,0.0261,1.2858,45.3527,2.960702
87,ijpa,1920-1945,laid down,terms_bigram,686,11478,10,27,1.4577,0.2352,1.2225,6.3798,2.931411
88,ijpa,1920-1945,early stages,terms_bigram,686,11478,11,49,1.6035,0.4269,1.1766,3.8819,2.923728
89,ijpa,1920-1945,society june,terms_bigram,686,11478,9,5,1.312,0.0436,1.2684,28.8608,2.92058
90,ijpa,1920-1945,outside world,terms_bigram,686,11478,11,50,1.6035,0.4356,1.1679,3.805,2.902079
91,ijpa,1920-1945,karen horney,terms_bigram,686,11478,9,7,1.312,0.061,1.251,21.1646,2.880458
92,ijpa,1920-1945,great importance,terms_bigram,686,11478,10,31,1.4577,0.2701,1.1876,5.5696,2.847846
93,ijpa,1920-1945,mental mechanisms,terms_bigram,686,11478,9,9,1.312,0.0784,1.2335,16.7089,2.840337
94,ijpa,1920-1945,neurotic symptoms,terms_bigram,686,11478,10,32,1.4577,0.2788,1.1789,5.3983,2.826955
95,ijpa,1920-1945,oedipus situation,terms_bigram,686,11478,9,10,1.312,0.0871,1.2248,15.1176,2.820276
