term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
subject,global_core_terms_after_audit,,,,1560,1131,9.2979,,,pending,,,subject
concepts,global_core_terms_after_audit,,,,1560,1049,8.6238,,,pending,,,concepts
perspective,global_core_terms_after_audit,,,,1553,1006,8.2703,,,pending,,,perspective
problems,global_core_terms_after_audit,,,,1550,1065,8.7553,,,pending,,,problems
robert,global_core_terms_after_audit,,,,1548,466,3.831,,,pending,,,robert
place,global_core_terms_after_audit,,,,1546,1265,10.3995,,,pending,,,place
individual,global_core_terms_after_audit,,,,1513,1127,9.265,,,pending,,,individual
society,global_core_terms_after_audit,,,,1511,994,8.1717,,,pending,,,society
studies,global_core_terms_after_audit,,,,1498,1043,8.5745,,,pending,,,studies
attachment,global_core_terms_after_audit,,,,1498,423,3.4775,,,pending,,,attachment
described,global_core_terms_after_audit,,,,1463,1233,10.1365,,,pending,,,described
against,global_core_terms_after_audit,,,,1459,1099,9.0349,,,pending,,,against
become,global_core_terms_after_audit,,,,1459,1254,10.3091,,,pending,,,become
relations,global_core_terms_after_audit,,,,1456,882,7.2509,,,pending,,,relations
language,global_core_terms_after_audit,,,,1456,709,5.8287,,,pending,,,language
death,global_core_terms_after_audit,,,,1452,741,6.0917,,,pending,,,death
meaning,global_core_terms_after_audit,,,,1447,974,8.0072,,,pending,,,meaning
love,global_core_terms_after_audit,,,,1446,681,5.5985,,,pending,,,love
now,global_core_terms_after_audit,,,,1445,1141,9.3801,,,pending,,,now
theories,global_core_terms_after_audit,,,,1444,926,7.6126,,,pending,,,theories
based,global_core_terms_after_audit,,,,1433,1203,9.8898,,,pending,,,based
terms,global_core_terms_after_audit,,,,1409,1111,9.1335,,,pending,,,terms
psycho-analysis,global_core_terms_after_audit,,,,1409,632,5.1957,,,pending,,,psycho-analysis
internal,global_core_terms_after_audit,,,,1398,940,7.7277,,,pending,,,internal
narcissistic,global_core_terms_after_audit,,,,1372,681,5.5985,,,pending,,,narcissistic
conflict,global_core_terms_after_audit,,,,1370,828,6.807,,,pending,,,conflict
here,global_core_terms_after_audit,,,,1365,1128,9.2733,,,pending,,,here
psychiatry,global_core_terms_after_audit,,,,1359,981,8.0648,,,pending,,,psychiatry
importance,global_core_terms_after_audit,,,,1359,1125,9.2486,,,pending,,,importance
personal,global_core_terms_after_audit,,,,1343,978,8.0401,,,pending,,,personal
problem,global_core_terms_after_audit,,,,1342,877,7.2098,,,pending,,,problem
later,global_core_terms_after_audit,,,,1340,1116,9.1746,,,pending,,,later
past,global_core_terms_after_audit,,,,1340,929,7.6373,,,pending,,,past
