rank,term,count,doc_count,doc_pct,n_docs_base
173,little,1077,791,6.5028,12164
174,considered,1074,950,7.8099,12164
175,action,1074,620,5.097,12164
176,psychoanalysts,1073,805,6.6179,12164
177,fantasies,1060,570,4.686,12164
178,book,1058,657,5.4012,12164
179,person,1058,741,6.0917,12164
180,der,1054,206,1.6935,12164
181,interest,1049,870,7.1523,12164
182,influence,1048,772,6.3466,12164
183,women,1046,498,4.094,12164
184,come,1045,841,6.9138,12164
185,depression,1045,365,3.0007,12164
186,review,1043,635,5.2203,12164
187,authors,1038,733,6.026,12164
188,michael,1038,308,2.5321,12164
189,space,1036,543,4.464,12164
190,forms,1031,792,6.511,12164
191,psycho-analytic,1028,500,4.1105,12164
192,journal,1026,632,5.1957,12164
193,external,1025,726,5.9684,12164
194,words,1023,684,5.6232,12164
195,example,1008,863,7.0947,12164
196,good,1002,696,5.7218,12164
197,seen,1000,853,7.0125,12164
198,changes,994,697,5.73,12164
199,special,993,747,6.1411,12164
200,take,990,879,7.2262,12164
201,disorders,985,497,4.0858,12164
202,less,984,824,6.7741,12164
203,means,984,834,6.8563,12164
204,know,983,771,6.3384,12164
205,position,982,731,6.0095,12164
206,particularly,980,890,7.3167,12164
207,response,978,634,5.2121,12164
208,great,977,810,6.659,12164
209,whether,976,804,6.6097,12164
210,psychotic,974,451,3.7077,12164
211,especially,971,882,7.2509,12164
212,conflicts,965,663,5.4505,12164
213,formation,962,568,4.6695,12164
214,neurosis,960,491,4.0365,12164
215,always,959,801,6.585,12164
216,communication,959,618,5.0806,12164
217,superego,959,416,3.4199,12164
218,program,956,732,6.0178,12164
219,think,954,741,6.0917,12164
220,science,952,555,4.5626,12164
221,long,951,779,6.4041,12164
222,see,946,771,6.3384,12164
223,accepted,941,899,7.3907,12164
224,still,940,783,6.437,12164
225,family,937,545,4.4804,12164
226,infant,937,496,4.0776,12164
227,young,934,610,5.0148,12164
228,memory,933,474,3.8967,12164
229,functions,928,656,5.393,12164
230,traumatic,921,551,4.5298,12164
231,contributions,918,659,5.4176,12164
232,impact,917,679,5.582,12164
233,published,915,770,6.3302,12164
234,narcissism,910,366,3.0089,12164
235,oedipal,908,501,4.1187,12164
236,basic,906,685,5.6314,12164
237,help,904,777,6.3877,12164
238,disorder,902,433,3.5597,12164
239,mechanisms,901,575,4.7271,12164
240,find,898,784,6.4452,12164
241,number,897,781,6.4206,12164
242,observations,897,619,5.0888,12164
243,end,888,738,6.0671,12164
244,idea,887,693,5.6971,12164
245,parents,885,538,4.4229,12164
246,dynamic,884,590,4.8504,12164
247,borderline,880,348,2.8609,12164
248,cannot,879,755,6.2068,12164
249,fear,878,510,4.1927,12164
