rank,term,count,doc_count,doc_pct,n_docs_base
164,aires argentina,113,83,0.6823,12164
165,west suite,113,113,0.929,12164
166,boundary violations,113,40,0.3288,12164
167,faculty supervisor,113,97,0.7974,12164
168,psychological association,112,98,0.8057,12164
169,michael balint,112,33,0.2713,12164
170,internal world,112,94,0.7728,12164
171,boston society,112,94,0.7728,12164
172,andr green,112,47,0.3864,12164
173,association december,111,110,0.9043,12164
174,charles brenner,111,37,0.3042,12164
175,british society,110,79,0.6495,12164
176,hanna segal,110,33,0.2713,12164
177,steven levy,110,29,0.2384,12164
178,male female,109,75,0.6166,12164
179,ralph greenson,109,30,0.2466,12164
180,hans loewald,109,32,0.2631,12164
181,editorial board,109,100,0.8221,12164
182,potential space,109,49,0.4028,12164
183,stanley coen,109,30,0.2466,12164
184,therapeutic reaction,108,45,0.3699,12164
185,took place,106,102,0.8385,12164
186,read before,106,105,0.8632,12164
187,study group,106,72,0.5919,12164
188,giuseppe civitarese,106,32,0.2631,12164
189,covid pandemic,106,62,0.5097,12164
190,psychic life,105,87,0.7152,12164
191,psycho-analytical association,105,67,0.5508,12164
192,american psychological,105,92,0.7563,12164
193,theodore shapiro,104,29,0.2384,12164
194,heinz weiss,104,30,0.2466,12164
195,melanie klein's,103,67,0.5508,12164
196,sidney blatt,103,35,0.2877,12164
197,mark kanzer,102,23,0.1891,12164
198,blum harold,102,57,0.4686,12164
199,mitchell center,102,93,0.7646,12164
200,herbert rosenfeld,101,23,0.1891,12164
201,very early,100,90,0.7399,12164
202,psycho-analytical congress,100,78,0.6412,12164
203,mitchell wilson,100,32,0.2631,12164
204,online notification,100,50,0.411,12164
205,psychic apparatus,99,74,0.6084,12164
206,phyllis greenacre,99,34,0.2795,12164
207,bonnie litowitz,99,30,0.2466,12164
208,gmail orcid,99,99,0.8139,12164
209,here now,98,62,0.5097,12164
210,jones ernest,97,36,0.296,12164
211,leonard shengold,97,20,0.1644,12164
212,john gedo,97,25,0.2055,12164
213,kernberg otto,97,59,0.485,12164
214,everyday life,96,75,0.6166,12164
215,heinz kohut,96,42,0.3453,12164
216,anorexia nervosa,96,28,0.2302,12164
217,paris france,96,83,0.6823,12164
218,joseph lichtenberg,96,27,0.222,12164
219,tel aviv,96,67,0.5508,12164
220,muriel dimen,96,33,0.2713,12164
221,karl abraham,95,33,0.2713,12164
222,unconscious phantasy,95,56,0.4604,12164
223,psychic trauma,95,51,0.4193,12164
224,freud's writings,95,71,0.5837,12164
225,instinctual drives,95,62,0.5097,12164
226,body ego,95,37,0.3042,12164
227,starting point,94,92,0.7563,12164
228,depressive position,93,71,0.5837,12164
229,object loss,93,56,0.4604,12164
230,alessandra lemma,93,31,0.2549,12164
231,center relational,93,86,0.707,12164
232,freud himself,92,88,0.7234,12164
233,author presents,92,91,0.7481,12164
234,philip bromberg,92,30,0.2466,12164
235,lawrence friedman,91,29,0.2384,12164
236,warren poland,91,26,0.2137,12164
237,peter goldberg,91,29,0.2384,12164
238,points out,90,85,0.6988,12164
239,obsessional neurosis,90,52,0.4275,12164
240,annual meeting,90,86,0.707,12164
241,chicago illinois,90,87,0.7152,12164
242,studies gender,90,87,0.7152,12164
243,young man,89,77,0.633,12164
244,glover edward,89,30,0.2466,12164
245,mental illness,89,69,0.5672,12164
246,paula heimann,89,28,0.2302,12164
247,structural change,89,45,0.3699,12164
248,henry smith,89,24,0.1973,12164
249,apr s-coup,89,35,0.2877,12164
250,pratyusha tummala-narra,89,23,0.1891,12164
251,human mind,88,77,0.633,12164
252,riccardo lombardi,88,23,0.1891,12164
253,steven knoblauch,88,21,0.1726,12164
254,anthony bass,88,21,0.1726,12164
255,transference interpretation,87,46,0.3782,12164
256,arnold goldberg,87,22,0.1809,12164
257,supervising faculty,87,80,0.6577,12164
258,van der,86,33,0.2713,12164
259,men women,86,76,0.6248,12164
260,early life,86,80,0.6577,12164
