rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
49,1920-1945,too,terms_unigram,686,11478,99,579,14.4315,5.0444,9.3871,2.8689,43.228981
50,1920-1945,here,terms_unigram,686,11478,121,1007,17.6385,8.7733,8.8652,2.015,42.588504
51,1920-1945,able,terms_unigram,686,11478,102,657,14.8688,5.724,9.1448,2.6048,42.38372
52,1920-1945,interest,terms_unigram,686,11478,106,764,15.4519,6.6562,8.7957,2.3277,41.100722
53,1920-1945,last,terms_unigram,686,11478,93,528,13.5569,4.6001,8.9567,2.9561,40.693141
54,1920-1945,later,terms_unigram,686,11478,118,998,17.2012,8.6949,8.5063,1.983,40.652522
55,1920-1945,point,terms_unigram,686,11478,128,1184,18.6589,10.3154,8.3435,1.8127,40.547875
56,1920-1945,child,terms_unigram,686,11478,131,1245,19.0962,10.8468,8.2494,1.7641,40.280052
57,1920-1945,jones,terms_unigram,686,11478,74,168,10.7872,1.4637,9.3235,7.3876,40.254111
58,1920-1945,account,terms_unigram,686,11478,98,636,14.2857,5.541,8.7447,2.5857,40.182849
59,1920-1945,unconscious,terms_unigram,686,11478,165,1864,24.0525,16.2398,7.8127,1.4831,39.938504
60,1920-1945,though,terms_unigram,686,11478,96,606,13.9942,5.2797,8.7145,2.6585,39.866336
61,1920-1945,father,terms_unigram,686,11478,89,484,12.9738,4.2168,8.757,3.0866,39.404826
62,1920-1945,make,terms_unigram,686,11478,118,1035,17.2012,9.0173,8.1839,1.9121,39.111944
63,1920-1945,attention,terms_unigram,686,11478,113,970,16.4723,8.4509,8.0214,1.9541,37.990722
64,1920-1945,vol,terms_unigram,686,11478,64,45,9.3294,0.3921,8.9374,23.6862,37.308134
65,1920-1945,according,terms_unigram,686,11478,82,406,11.9534,3.5372,8.4162,3.3911,37.189631
66,1920-1945,ernest,terms_unigram,686,11478,67,113,9.7668,0.9845,8.7823,9.937,37.056863
67,1920-1945,against,terms_unigram,686,11478,112,987,16.3265,8.5991,7.7275,1.9035,36.530755
68,1920-1945,connection,terms_unigram,686,11478,76,307,11.0787,2.6747,8.404,4.1568,36.505494
69,1920-1945,instance,terms_unigram,686,11478,73,262,10.6414,2.2826,8.3588,4.6785,35.976698
