rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
61,ijpa,still,terms_unigram,5423,6741,501,282,9.2384,4.1834,5.0551,2.2066,31.43548
62,ijpa,objects,terms_unigram,5423,6741,477,253,8.7959,3.7532,5.0427,2.3413,31.111602
63,ijpa,world,terms_unigram,5423,6741,801,684,14.7704,10.1469,4.6236,1.4555,30.918246
64,ijpa,early,terms_unigram,5423,6741,944,876,17.4073,12.9951,4.4122,1.3394,30.229035
65,ijpa,paris,terms_unigram,5423,6741,310,33,5.7164,0.4895,5.2269,11.5209,30.001045
66,ijpa,able,terms_unigram,5423,6741,484,275,8.9249,4.0795,4.8454,2.186,29.964897
67,ijpa,against,terms_unigram,5423,6741,629,470,11.5987,6.9723,4.6265,1.663,29.821037
68,ijpa,importance,terms_unigram,5423,6741,639,486,11.7831,7.2096,4.5735,1.6339,29.551738
69,ijpa,nature,terms_unigram,5423,6741,755,639,13.9222,9.4793,4.4429,1.4685,29.447576
70,ijpa,make,terms_unigram,5423,6741,650,503,11.986,7.4618,4.5242,1.6059,29.309974
71,ijpa,congress,terms_unigram,5423,6741,297,24,5.4767,0.356,5.1206,15.0935,29.172783
72,ijpa,well,terms_unigram,5423,6741,1113,1107,20.5237,16.4219,4.1018,1.2497,28.777046
73,ijpa,say,terms_unigram,5423,6741,424,212,7.8186,3.1449,4.6736,2.4831,28.285145
74,ijpa,always,terms_unigram,5423,6741,494,307,9.1093,4.5542,4.5551,1.9989,28.262559
75,ijpa,seems,terms_unigram,5423,6741,464,270,8.5561,4.0053,4.5508,2.1345,27.951241
76,ijpa,contact,terms_unigram,5423,6741,432,228,7.9661,3.3823,4.5838,2.3527,27.826944
77,ijpa,character,terms_unigram,5423,6741,447,249,8.2427,3.6938,4.5489,2.2294,27.769826
78,ijpa,mind,terms_unigram,5423,6741,772,680,14.2357,10.0875,4.1481,1.411,27.586281
79,ijpa,already,terms_unigram,5423,6741,363,137,6.6937,2.0323,4.6614,3.286,27.488831
80,ijpa,called,terms_unigram,5423,6741,426,231,7.8554,3.4268,4.4286,2.29,26.823312
81,ijpa,little,terms_unigram,5423,6741,482,309,8.8881,4.5839,4.3042,1.9378,26.599902
82,ijpa,knowledge,terms_unigram,5423,6741,520,360,9.5888,5.3405,4.2483,1.7947,26.576519
83,ijpa,result,terms_unigram,5423,6741,461,282,8.5008,4.1834,4.3175,2.0306,26.490143
84,ijpa,anxiety,terms_unigram,5423,6741,546,396,10.0682,5.8745,4.1937,1.7132,26.439147
85,ijpa,every,terms_unigram,5423,6741,394,192,7.2654,2.8482,4.4171,2.5473,26.409391
86,ijpa,take,terms_unigram,5423,6741,518,361,9.5519,5.3553,4.1966,1.7828,26.236865
87,ijpa,infantile,terms_unigram,5423,6741,364,157,6.7122,2.329,4.3831,2.8766,25.859962
88,ijpa,attention,terms_unigram,5423,6741,603,480,11.1193,7.1206,3.9987,1.5612,25.605981
89,ijpa,like,terms_unigram,5423,6741,702,610,12.9449,9.0491,3.8958,1.4303,25.53811
90,ijpa,function,terms_unigram,5423,6741,589,464,10.8611,6.8833,3.9779,1.5775,25.379459
91,ijpa,neurosis,terms_unigram,5423,6741,349,142,6.4356,2.1065,4.329,3.0486,25.359226
92,ijpa,hand,terms_unigram,5423,6741,371,173,6.8412,2.5664,4.2748,2.6615,25.302366
