journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file,harvest_file,harvest_year_from_filename
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0203A,IJP,1920,The Symbolism of Being Run Over,Ernest Jones,International Journal of Psychoanalysis ,1,,203-203,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0280A,IJP,1920,Special Pathology and Therapy of the Neuroses and Psychoses,Karl Abraham,International Journal of Psychoanalysis ,1,,280-281,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0262A,IJP,1920,The Wish to be a Man,Hanns Sachs,International Journal of Psychoanalysis ,1,,262-267,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0125A,IJP,1920,The Psychogenesis of a Case of Female Homosexuality,Sigmund Freud,International Journal of Psychoanalysis ,1,,125-149,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0200A,IJP,1920,Three Notes,Joan Riviere,International Journal of Psychoanalysis ,1,,200-202,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0068A,IJP,1920,Review of the Recent Psycho-Analytical Literature in English,Stanford Read,International Journal of Psychoanalysis ,1,,68-85,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0371A,IJP,1920,A Child is Being Beaten—A Contribution to the Study of the Origin of Sexual Perversions,Sigmund Freud,International Journal of Psychoanalysis ,1,,371-395,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0161A,IJP,1920,Recent Advances in Psycho-Analysis,Ernest Jones,International Journal of Psychoanalysis ,1,,161-185,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0223A,IJP,1920,Reaction to Personal Names,C. P. Oberndorf,International Journal of Psychoanalysis ,1,,223-230,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0245A,IJP,1920,Dreams on the Symbolism of Water and Fire,H. Flournoy,International Journal of Psychoanalysis ,1,,245-255,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0424A,IJP,1920,Litterature Française,Raymond De Saussure,International Journal of Psychoanalysis ,1,,424-426,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0186A,IJP,1920,The Relation of the Elder Sister to the Development of the Electra Complex—(A Case of Simple Phobia and Obsession),E. R. Mason-Thompson,International Journal of Psychoanalysis ,1,,186-195,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0017A,IJP,1920,One of the Difficulties of Psycho-Analysis,Sigmund Freud,International Journal of Psychoanalysis ,1,,17-23,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0459A,IJP,1920,Psycho-Analytical Literature in Hungarian,Géza Szilágyi,International Journal of Psychoanalysis ,1,,459-462,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
