url,year,volume,issue,doi,keyword_raw,keyword_norm,keyword_pl,keyword_pl_norm,keyword_semantic_auto,keyword_final_clean,keyword_final_polish,,,,,,
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,ciąża,ciąża,ciąża,ciąża,ciąża,ciąża,ciąża,,,,,,
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,kobiety,kobiety,kobiety,kobiety,kobiety,kobiety,kobiety,,,,,,
"https://www.psychiatriapolska.pl/Long-term-effects-and-the-mediating-role-of-coping-styles-between-behavioral-changes,195284,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/195284,studenci,studenci,studenci,studenci,studenci,studenci,studenci,,,,,,
"https://www.psychiatriapolska.pl/Long-term-effects-and-the-mediating-role-of-coping-styles-between-behavioral-changes,195284,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/195284,psychopatologia,psychopatologia,psychopatologia,psychopatologia,psychopatologia,psychopatologia,psychopatologia,,,,,,
"https://www.psychiatriapolska.pl/Long-term-effects-and-the-mediating-role-of-coping-styles-between-behavioral-changes,195284,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/195284,Psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,,,,,,
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,zmienne kategorialne i dymensjonalne,zmienne kategorialne i dymensjonalne,zmienne kategorialne i dymensjonalne,zmienne kategorialne i dymensjonalne,zmienne kategorialne i dymensjonalne,zmienne kategorialne i dymensjonalne,zmienne kategorialne i dymensjonalne,,,,,,
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,epidemiologia,epidemiologia,epidemiologia,epidemiologia,epidemiologia,epidemiologia,epidemiologia,,,,,,
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,adolescenci,adolescenci,adolescenci,adolescenci,adolescenci,adolescenci,adolescenci,,,,,,
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży,,,,,,
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,adolescent,adolescent,adolescent,adolescent,adolescent,adolescent,adolescent,,,,,,
