documentID,PEPCode,year,title,authorMast,sourceTitle,keywords,art_kwds_count
LU-AM.020B.0122A,LU-AM,2007,Von der »Psychischen Behandlung« zur Psychoanalyse. Zur Fehldatierung eines frühen Freud-Textes und zu dessen bisher übersehener Erweiterung (mit Abdruck),Gerhard Fichtner,Luzifer-Amor: Zeitschrift zur Geschichte der Psychoanalyse,,0
PI.010.0601A,PI,1990,The Analyst's Response,James L. Fosshage,Psychoanalytic Inquiry,,0
RBP.070.0031A,RBP,2017,Le terrorisme sacrificiel religieux : au carrefour de la radicalité adolescente et du malaise contemporain,Denis Hirsch,Revue Belge de Psychanalyse,,0
PSU.040.0379A,PSU,2006,L'IO E I MECCANISMI DI ADATTAMENTO (1977),Paul Parin,Psicoterapia e Scienze Umane,,1
PY.007.0021A,PY,2003,çocuk psikanalizinde çerçeve,Elda Abrevaya,Psikanaliz Yazıları,,0
SPR.038.0086A,SPR,2015,The talking cure: psychoanalysis and the ambiguity of language,Judy Gammelgaard,Scandinavian Psychoanalytic Review,,1
SPR.039.0013A,SPR,2016,Social mirrors. Tove Jansson’s Invisible Child and the importance of being seen,Joona Taipale,Scandinavian Psychoanalytic Review,,1
TVPA.022.0195A,TVPA,2016,"De koffiemachine, de teambijeenkomst en de divan: Psychoanalytisch behandelen in een (semi)residentiële setting",Myriam van Gael,Tijdschrift voor psychoanalyse,,0
TVPA.023.0172A,TVPA,2017,Psychopathologie en symbolisering,Antoine Mooij,Tijdschrift voor psychoanalyse,,0
RRP.006A.0053A,RRP,2013,"Creativity, Symbolism and Play",Tamar Schonfield,Revue Roumaine de Psychanalyse,,1
RRP.006A.0069A,RRP,2013,Freud Between the Clinical Practice and the Theory of Technique,Vasile Dem. Zamfirescu,Revue Roumaine de Psychanalyse,,1
RRP.007B.0032A,RRP,2014,Dreaming the Session: Some Fundamentals of Psychoanalytic Technique,David Tuckett,Revue Roumaine de Psychanalyse,,0
RRP.013B.0043A,RRP,2020,Traditions of Understanding in Psychoanalysis,Henrik Enckell,Revue Roumaine de Psychanalyse,,1
