article_type,n_records,pct_records
ART,5423,43.79
REV,3419,27.61
ABS,1828,14.76
COM,926,7.48
REP,401,3.24
PRO,269,2.17
ANN,79,0.64
ERA,33,0.27
SUP,5,0.04
