scope,field,n_records,n_nonempty,pct_nonempty,median_chars,mean_chars,min_chars,max_chars,median_words,mean_words,n_very_short_lt_80_chars,n_possible_html_artifact,n_possible_copyright_artifact
psychoanalytic_dialogues,title_clean,1578,1578,100.0,67.0,70.37,5,233,10.0,10.52,991,0,0
psychoanalytic_dialogues,abstract_clean,1578,1578,100.0,1730.0,1778.6,268,5294,261.0,272.86,0,0,0
psychoanalytic_dialogues,text_for_analysis,1578,1578,100.0,1808.5,1850.97,289,5301,273.5,283.38,0,0,0
