field,present_as_column,actual_column,n_nonempty,pct_nonempty
article_id,False,,0,0.0
journal_key,False,,0,0.0
source_title,True,source_title,1348,100.0
year,False,,0,0.0
volume,True,volume,1348,100.0
issue_number,False,,0,0.0
title,True,title,1348,100.0
authors,True,authors,1241,92.06
pages,True,pages,1348,100.0
doi,True,doi,745,55.27
article_type,True,article_type,1348,100.0
abstract_text,False,,0,0.0
n_keywords,True,n_keywords,1348,100.0
keyword_extraction_source,False,,0,0.0
